step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
19,3.8147e-07,0.001,15.2993,2000,2.10471,2.01293,2.66561,2.20449,445.75,405.562,1604.7,1460.03,17.75,7.8125,1.47796e+06,155.861,196.55,700,700,0.158406,0.0144469,0.355141,1.01644,0.661291,0.03479,0.0387132,-0.662003,-7.25235e-11,0.983448,2.87822,0.296228,5223.11
20,1.90735e-07,0.001,15.4688,2000,2.21939,2.13142,2.76654,2.31468,464.812,424.5,1673.33,1528.2,19.625,9.8125,1.5422e+06,146.458,186.831,700,700,0.163187,0.0148063,0.413209,1.0279,0.614689,0.03211,0.0388201,-0.614321,4.22397e-10,0.966751,2.72916,0.310835,5472.34
21,9.53674e-08,0.001,15.9607,2000,2.11268,2.03347,2.74678,2.198,457.812,414.875,1648.12,1493.55,18.125,8.5,1.50007e+06,146.338,188.086,700,700,0.162125,0.0130825,0.458172,0.880788,0.422598,0.0367008,0.0392123,-0.412449,-1.35052e-10,0.954315,2.51455,0.299513,5729.46
22,4.76837e-08,0.001,15.9823,2000,2.35217,2.26223,2.89701,2.44861,497.688,454.688,1791.67,1636.88,20.9375,8.6875,1.51653e+06,130.433,171.212,700,700,0.175,0.0142864,0.528201,0.969048,0.440839,0.0295512,0.0420683,-0.439704,-6.73017e-11,0.934758,2.80778,0.312714,5986.99
23,2.38419e-08,0.001,16.2332,2000,2.26086,2.18317,2.86225,2.34373,488.188,444.625,1757.47,1600.65,20,8.875,1.48077e+06,129.88,171.737,700,700,0.172312,0.0130141,0.581319,0.8646,0.283252,0.0277158,0.0405499,-0.267534,-7.05664e-10,0.923502,2.54298,0.31463,6248.53
24,1.19209e-08,0.001,15.7145,2000,2.23879,2.17054,2.87913,2.31139,492.625,446.375,1773.45,1606.95,21.1875,10.8125,1.49682e+06,126.619,169.16,700,700,0.170219,0.012051,0.640443,0.823024,0.18256,0.030022,0.038153,-0.167488,2.55554e-10,0.905766,2.22771,0.235629,6501.59
25,5.96046e-09,0.001,16.0124,2000,2.13566,2.07621,2.8221,2.19839,477.688,433,1719.67,1558.8,19.0625,9.3125,1.47686e+06,132.161,175.783,700,700,0.168844,0.01095,0.700107,0.739959,0.0398224,0.0279915,0.0399496,-0.0109584,4.22091e-10,0.890505,2.19444,0.319316,6759.59
26,2.98023e-09,0.001,15.9452,2000,2.35468,2.28432,2.98746,2.42887,520,471.625,1872,1697.85,22.8125,10.125,1.45245e+06,112.964,155.522,700,700,0.178781,0.0117494,0.766895,0.798828,0.0319109,0.0246451,0.0388577,-0.0228099,-2.40216e-10,0.868436,2.50107,0.315094,7016.49
27,1.49012e-09,0.001,16.2026,2000,2.2578,2.20018,2.91006,2.3183,508.062,461.5,1829.03,1661.4,21.8125,10.75,1.48961e+06,122.465,166.168,700,700,0.176219,0.0108193,0.820273,0.73949,-0.0807944,0.0155429,0.0410611,0.101823,-6.44535e-11,0.853842,2.25791,0.295454,7277.5
28,7.45058e-10,0.001,16.3713,2000,2.32361,2.26428,2.95664,2.38586,518.062,470.75,1865.03,1694.7,22.5,10.875,1.48401e+06,118.39,161.773,700,700,0.179125,0.0108941,0.86667,0.742037,-0.124644,0.0137694,0.0407786,0.147031,-3.55059e-10,0.839926,2.28565,0.327675,7541.26
29,3.72529e-10,0.001,16.6929,2000,2.15842,2.11119,2.87977,2.20777,491,439.5,1767.6,1582.2,24,12.0625,1.47481e+06,122.093,166.35,700,700,0.15975,0.00788733,0.906128,0.516445,-0.389685,0.0258462,0.0398986,0.422469,-2.24079e-10,0.830115,2.66849,0.324334,7810.14
30,1.86265e-10,0.001,16.5534,2000,2.44438,2.38907,3.1004,2.50227,549.938,495.75,1979.78,1784.7,28.1875,14.375,1.447e+06,99.3149,142.437,700,700,0.177406,0.00997078,0.933338,0.688761,-0.244589,0.0256364,0.0426195,0.246828,-4.058e-10,0.814263,2.50451,0.308218,8076.85
31,9.31323e-11,0.001,15.8895,2000,2.30792,2.2538,2.9995,2.36434,520.312,469.875,1873.12,1691.55,25.0625,11.625,1.48186e+06,107.088,150.917,700,700,0.172281,0.00865025,0.941953,0.576927,-0.365034,0.0221169,0.042909,0.389655,-3.24376e-10,0.809423,2.7012,0.362996,8332.97
32,4.65661e-11,0.001,16.3418,2000,2.49287,2.43416,3.12184,2.55407,561.812,511.75,2022.52,1842.3,26.0625,12,1.47967e+06,98.0653,141.477,700,700,0.190719,0.0105314,0.946538,0.761312,-0.185239,0.0215147,0.0423469,0.186003,3.09843e-10,0.795315,2.31614,0.327824,8596.26
33,2.32831e-11,0.001,16.5242,2000,2.40002,2.3514,3.0803,2.45074,546.812,496.688,1968.53,1788.07,25.75,12.75,1.46527e+06,101.008,144.991,700,700,0.183969,0.0094215,0.929377,0.672083,-0.257285,0.0297585,0.0406817,0.263053,-1.42946e-11,0.789293,2.28776,0.333519,8862.51
34,1.16415e-11,0.001,16.4826,2000,2.37025,2.32485,3.00626,2.41746,541.125,485.75,1948.05,1748.7,28.875,15.3125,1.44631e+06,106.109,150.254,700,700,0.170687,0.00780221,0.919937,0.56419,-0.355746,0.01814,0.0418405,0.380323,-2.40101e-10,0.776939,2.58964,0.318247,9128.08
35,5.82077e-12,0.001,16.9216,2000,2.10509,2.06639,2.82388,2.1455,486.062,434.438,1749.83,1563.97,23.125,12.5,1.45145e+06,126.414,171.594,700,700,0.159406,0.00607582,0.884167,0.397996,-0.486167,0.00151687,0.0542881,0.533662,-6.33918e-10,0.767296,2.54926,0.406405,9401
36,2.91038e-12,0.001,15.9661,2000,2.41828,2.37173,3.11407,2.46657,551.875,498.75,1986.75,1795.5,25.6875,12.75,1.42506e+06,93.5984,137.612,700,700,0.185156,0.00894769,0.856378,0.621109,-0.235269,0.0213249,0.0421079,0.250784,-9.83871e-10,0.751941,2.32583,0.316384,9658.31
37,1.45519e-12,0.001,16.3289,2000,2.58898,2.54024,3.2055,2.63946,585.5,534.312,2107.8,1923.53,26.875,13.25,1.46799e+06,85.2228,128.809,700,700,0.199969,0.0105014,0.813231,0.741393,-0.0718629,0.0286619,0.0458079,0.0706287,1.26406e-11,0.743986,2.15715,0.35582,9921.51
38,7.27596e-13,0.001,16.4717,2000,2.49545,2.4456,3.16225,2.54706,571.625,517.562,2057.85,1863.22,27.625,12.6875,1.4282e+06,89.6965,133.734,700,700,0.189719,0.00859517,0.77181,0.635683,-0.136122,0.0303818,0.0411417,0.13949,5.50074e-10,0.735603,2.32015,0.324229,10186.9
39,3.63798e-13,0.001,16.228,2000,2.46438,2.41565,3.14481,2.51478,562.188,509.5,2023.87,1834.2,27.375,12.5,1.47196e+06,91.1107,135.122,700,700,0.186313,0.00807395,0.733089,0.569488,-0.163614,0.0306722,0.055411,0.175138,-2.06714e-10,0.729935,2.44085,0.273901,10448.6
