step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,17.002,2000,0.562573,0.529721,0.951228,0.598975,167.542,146.625,603.15,527.85,12.5833,4.66667,1.58908e+06,11149.3,11206,700,700,-0.241271,0.000847678,0.00102337,0.0121476,0.0111242,4.28955e-05,0.0553357,-0.00942334,0.00138918,1.60807,19.6575,3.97298,414.503
1,0.1,0.01,0.001,17.156,2000,0.634847,0.59555,1.01028,0.678584,183.167,161.417,659.4,581.1,12.75,4.58333,1.54941e+06,11120.6,11176.2,700,700,-0.238042,-0.00027532,0.0738276,-0.0889208,-0.162754,-0.8328,0.0486716,0.163678,0.00154925,1.60567,17.6862,3.51074,830.132
2,0.05,0.01,0.001,17.0411,2000,0.525845,0.495509,0.943561,0.559257,153.25,135.875,551.7,489.15,11.1667,3.95833,1.60876e+06,11112.6,11168.1,700,700,-0.211229,0.000412913,0.109365,-0.00868479,-0.118051,-2.1174,0.0338476,0.118551,0.00245571,1.60175,14.8427,5.31058,1246.98
3,0.025,0.01,0.001,16.9944,2000,0.590904,0.554234,0.979922,0.631651,173.708,151.292,625.35,544.65,14.5833,5.54167,1.58532e+06,11131.2,11187.2,700,700,-0.288938,-0.000868505,-0.0106452,-0.148661,-0.138021,-1.5265,0.0353687,0.139042,0.00244842,1.60037,17.7825,7.43283,1662.59
4,0.0125,0.01,0.001,16.6657,2000,0.549438,0.517703,0.960701,0.584592,158.375,139,570.15,500.4,12.1667,4.625,1.59278e+06,11110.2,11164.9,700,700,-0.234667,0.000238138,-0.109371,-0.0483549,0.0610312,-1.92839,0.0591805,-0.0608678,0.00251446,1.59759,15.4455,4.94081,2071.01
5,0.00625,0.01,0.001,16.2676,2000,0.738607,0.69124,1.20072,0.791815,189.917,175.5,683.7,631.8,11.8333,4.25,1.59426e+06,11127.6,11178.7,700,700,-0.208083,7.17551e-05,-0.0959896,-0.0690064,0.0269691,0.0507061,0.063307,-0.0315181,0.00224318,1.5906,16.2024,2.43846,2467.48
6,0.003125,0.01,0.001,16.0498,2000,0.958423,0.895875,1.43689,1.02847,231.083,217.083,831.9,781.5,13,4.20833,1.55618e+06,11131.7,11180,700,700,-0.216458,-0.00098466,-0.0907389,-0.181539,-0.0908174,-0.8872,0.0553352,0.0826719,0.00178996,1.58677,19.0649,2.31439,2858.47
7,0.0015625,0.01,0.001,15.8662,2000,1.10833,1.04188,1.69791,1.18276,247.375,239.333,890.55,861.6,9.25,3.45833,1.56399e+06,11142,11187.5,700,700,-0.111583,0.00192857,-0.229889,0.0600162,0.289897,-0.0540715,0.0594681,-0.298271,0.00314146,1.57454,13.6996,1.91627,3244.92
8,0.0015625,0.01,0.001,15.5771,2000,1.25425,1.17965,1.92706,1.33799,262.167,261.625,943.8,941.85,7.83333,3.125,1.64632e+06,11109.8,11152.7,700,700,-0.0650208,0.00289105,-0.00680596,0.153779,0.160589,-1.53848,0.0550254,-0.164447,0.00213747,1.57133,11.6769,4.25608,3626.76
9,0.00078125,0.01,0.001,13.9026,2000,1.2605,1.19124,2.0644,1.33791,254.333,257.958,915.6,928.65,4.83333,2.625,1.67241e+06,11114.6,11156.1,700,700,0.00814583,0.00532926,0.103466,0.398176,0.294667,-1.79433,0.0507414,-0.296497,0.00165384,1.56827,5.84657,4.03838,3968.09
10,0.000390625,0.01,0.001,13.8658,2000,1.26861,1.20103,2.13455,1.34396,251.958,256.167,907.05,922.2,4.5,2.58333,1.66201e+06,11087.7,11128.7,700,700,0.0155833,0.00537049,0.174814,0.400379,0.225544,-3.17793,0.033644,-0.225787,0.00200006,1.56459,5.38018,4.17477,4308.41
11,0.000195313,0.01,0.001,13.5355,2000,1.23696,1.17417,2.21908,1.30663,244.542,249.125,880.35,896.85,3.58333,2.25,1.62954e+06,11088.8,11129.5,700,700,0.0349792,0.00569637,0.219755,0.458408,0.238651,-2.14671,0.0478159,-0.239053,0.0020716,1.57386,3.52686,4.04398,4641
12,9.76563e-05,0.01,0.001,14.4123,2000,1.25858,1.19345,2.18699,1.33102,248.042,250.708,892.95,902.55,4,2.625,1.63206e+06,11088.5,11129.4,700,700,0.0253542,0.00543073,0.31095,0.421069,0.110111,-1.1332,0.0573725,-0.111496,0.00216142,1.55732,4.38359,5.00292,4996.01
13,4.88281e-05,0.01,0.001,16.1996,2000,1.20242,1.13978,2.22831,1.27179,237.208,243.042,853.95,874.95,3.08333,1.58333,1.65805e+06,11137.8,11178.5,700,700,0.0444375,0.00494724,0.443006,0.396303,-0.0467003,-0.0635885,0.0597189,0.0462988,0.00291112,1.56685,4.86493,5.73191,5395.55
14,2.44141e-05,0.01,0.001,16.9238,2000,1.2248,1.16478,2.29723,1.29104,242.958,248.833,874.65,895.8,2.83333,1.75,1.64615e+06,11092.8,11133.7,700,700,0.0535833,0.00537249,0.420314,0.447013,0.0267109,-0.597898,0.0461889,-0.0272103,0.00235239,1.56538,3.3306,7.88946,5814.76
15,1.2207e-05,0.01,0.001,17.3392,2000,1.1152,1.05965,2.15178,1.17659,219.875,225.25,791.55,810.9,2.33333,1.5,1.66201e+06,11131,11172.1,700,700,0.0542917,0.00521514,0.423668,0.45091,0.0272379,-0.860031,0.0460999,-0.0264677,0.00192856,1.56948,2.46588,13.8356,6250.06
16,6.10352e-06,0.01,0.001,17.3124,2000,1.30499,1.24118,2.42945,1.3753,255.458,260.917,919.65,939.3,3.25,1.95833,1.64755e+06,11085.6,11125.8,700,700,0.0492083,0.00492495,0.444772,0.408051,-0.0367229,0.0685664,0.0439385,0.0357687,0.00183908,1.56738,4.64866,8.1168,6674.15
17,3.05176e-06,0.01,0.001,17.3577,2000,1.20817,1.14938,2.25651,1.27314,237,240.583,853.2,866.1,3.33333,2.20833,1.65175e+06,11079.6,11120.4,700,700,0.0369583,0.00474167,0.414984,0.396417,-0.0185582,-1.49982,0.046877,0.0190664,0.00247969,1.56888,4.29189,9.9521,7106.33
18,1.52588e-06,0.01,0.001,16.5228,2000,1.39094,1.32416,2.46165,1.46458,271.292,276.5,976.65,995.4,3.70833,2.5,1.6617e+06,11049.4,11089.4,700,700,0.0455417,0.00499591,0.40519,0.419276,0.0140806,-0.00468929,0.0482745,-0.0147906,0.00211306,1.56414,4.51787,5.19795,7513.79
19,7.62939e-07,0.01,0.001,16.1394,2000,1.43847,1.36457,2.47828,1.5203,273.583,279.417,984.9,1005.9,3,1.54167,1.64581e+06,11102.8,11142.1,700,700,0.0647083,0.00454009,0.409932,0.391954,-0.0179728,-0.040548,0.0468784,0.0167281,0.00160352,1.56279,5.65505,4.84658,7911.58
20,3.8147e-07,0.01,0.001,16.0235,2000,1.38352,1.31392,2.47033,1.46062,262.208,268.917,943.95,968.1,3.58333,2.20833,1.67208e+06,11081.3,11120.4,700,700,0.044875,0.00438728,0.400759,0.35616,-0.0445977,-0.0815389,0.0470284,0.0430683,0.00189454,1.55979,6.32056,2.86487,8304.45
21,1.90735e-07,0.01,0.001,15.9998,2000,1.45316,1.37991,2.51937,1.53416,275.958,282.833,993.45,1018.2,3.33333,2.04167,1.69358e+06,11088.6,11127.8,700,700,0.0580833,0.00459435,0.378383,0.394053,0.0156679,-0.254165,-0.0578193,-0.0168107,0.00197732,1.55789,5.32675,5.45155,8696.83
22,9.53674e-08,0.01,0.001,15.7164,2000,1.49542,1.42053,2.61194,1.57827,278.25,286.583,1001.7,1031.7,3.08333,1.95833,1.69336e+06,11086.9,11125.4,700,700,0.0662083,0.00484909,0.385982,0.398503,0.0125162,0.0295047,0.0376155,-0.0129808,0.00362101,1.56038,5.38521,2.3752,9081.97
23,9.53674e-08,0.01,0.001,15.5335,2000,1.45334,1.37911,2.57597,1.5355,271.167,277.583,976.2,999.3,3.16667,1.83333,1.66681e+06,11040.9,11079.4,700,700,0.059625,0.00425108,0.37719,0.356348,-0.0208261,-0.061302,0.0519772,0.0207388,0.00341693,1.55298,6.40331,5.01277,9465.56
24,4.76837e-08,0.01,0.001,16.5385,2000,1.4987,1.42659,2.52041,1.57811,285.958,289.25,1029.45,1041.3,4.08333,2.20833,1.65376e+06,11069.4,11109.4,700,700,0.0425417,0.00344672,0.366532,0.288214,-0.0783301,-1.5566,0.0540544,0.0764507,0.00185898,1.54747,8.87695,5.14754,9871.23
25,2.38419e-08,0.01,0.001,15.6818,2000,1.54461,1.46818,2.613,1.62908,288.125,295.042,1037.25,1062.15,3.66667,2.16667,1.67894e+06,11100.1,11138.6,700,700,0.0558542,0.00407234,0.312382,0.328447,0.0160576,-0.212235,0.0536808,-0.016261,0.00239539,1.55381,7.73532,4.63874,10258.7
26,2.38419e-08,0.01,0.001,15.1021,2000,1.49117,1.41508,2.51263,1.57556,277.583,284.125,999.3,1022.85,3.75,2.29167,1.63789e+06,11088,11126.5,700,700,0.0483125,0.00386138,0.350485,0.334933,-0.0155513,-0.0334262,0.0510961,0.0147313,0.00226371,1.54802,7.25423,2.32225,10629.7
27,1.19209e-08,0.01,0.001,15.1682,2000,1.7199,1.63104,2.65737,1.81864,313,320.792,1126.8,1154.85,4.25,2.375,1.67886e+06,11084.6,11122.3,700,700,0.0541458,0.00372246,0.355957,0.301462,-0.0545002,-0.175677,0.0489622,0.0528454,0.0030917,1.53141,10.1637,5.57876,11005.6
28,5.96046e-09,0.01,0.001,15.2826,2000,1.75575,1.66661,2.68847,1.85446,322,327.958,1159.2,1180.65,4.66667,2.41667,1.62944e+06,11053.9,11091.9,700,700,0.0473125,0.00314913,0.301452,0.262406,-0.0390469,-0.126831,0.041114,0.0405265,0.00226301,1.52914,11.8175,4.87067,11381.3
29,2.98023e-09,0.01,0.001,15.0368,2000,1.71598,1.63181,2.70368,1.80909,316.75,321.958,1140.3,1159.05,5.58333,3.41667,1.62389e+06,11045.7,11083.7,700,700,0.0213958,0.00306413,0.293508,0.248923,-0.0445886,-0.105889,0.0418822,0.0436071,0.00236495,1.53806,11.7198,5.09796,11753.6
30,1.49012e-09,0.01,0.001,14.9243,2000,1.62738,1.54618,2.67107,1.71725,296.958,304.583,1069.05,1096.5,3.91667,2.41667,1.6883e+06,11061.4,11099.2,700,700,0.054375,0.00381365,0.25156,0.324425,0.0728409,-0.387407,0.0562061,-0.0756884,0.00182529,1.53876,7.87857,4.88695,12123.5
31,7.45058e-10,0.01,0.001,15.1036,2000,1.55687,1.48056,2.59986,1.64124,288.292,294.458,1037.85,1060.05,4.41667,2.75,1.66892e+06,11081.4,11119.6,700,700,0.0368125,0.00324744,0.278123,0.274222,-0.00390791,-0.0317463,0.0515938,0.0013389,0.00160635,1.54245,9.04052,4.62152,12497.4
32,3.72529e-10,0.01,0.001,14.9605,2000,1.60091,1.51797,2.65624,1.69291,290.25,297.708,1044.9,1071.75,3.66667,2.04167,1.64853e+06,11083.9,11121.4,700,700,0.0571875,0.00335248,0.292042,0.28338,-0.00865383,-0.147483,0.0365437,0.00721253,0.00221687,1.53925,9.03582,4.43138,12865.2
33,1.86265e-10,0.01,0.001,14.8921,2000,1.66833,1.58186,2.71259,1.76442,296.542,304.917,1067.55,1097.7,3.91667,2.45833,1.68727e+06,11057.2,11094.1,700,700,0.0545417,0.003769,0.287576,0.328258,0.0406737,-0.251669,0.0541222,-0.040933,0.00330523,1.5328,8.26819,4.66441,13234.3
