step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.003,0.001,23.4905,2000,0.610171,0.570601,0.975974,0.653938,181.406,156.531,653.062,563.513,15.4375,5.53125,1.58459e+06,11142.5,11199.2,700,700,-0.307672,-0.00149513,0.000622579,-0.0277129,-0.0283354,-7.19801e-05,0.0339892,0.0275258,0.00157743,1.60791,8.57665,53.0189,150.917
1,0.1,0.003,0.001,22.6731,2000,0.555522,0.525345,1.01225,0.588899,154.719,139.219,556.987,501.188,10.25,3.875,1.60212e+06,11102.4,11156.4,700,700,-0.186641,0.00181418,-0.0105055,0.0133086,0.023814,0.18216,0.0362915,-0.024228,0.00186238,1.6047,1.40964,133.03,377.848
2,0.05,0.003,0.001,21.2247,2000,0.881779,0.828921,1.39022,0.941122,219.25,205.719,789.3,740.587,11.6875,4.53125,1.58261e+06,11096.7,11146.5,700,700,-0.189328,0.000355859,0.0449458,0.0294778,-0.0154682,0.139199,0.0366742,0.0139147,0.00180144,1.59951,1.73726,45.3704,513.828
3,0.025,0.003,0.001,18.0094,2000,1.03818,0.974262,1.672,1.10974,231.125,223.875,832.05,805.95,9.625,3.25,1.58343e+06,11063.8,11109.5,700,700,-0.128688,0.00078549,0.0659714,0.0539689,-0.0120096,0.222654,0.0433947,0.00901456,0.00359085,1.58555,1.55297,20.5789,617.09
4,0.025,0.003,0.001,17.2728,2000,1.2246,1.15699,2.13223,1.2999,242.969,247.906,874.688,892.462,4.375,2.25,1.65782e+06,11124.3,11165.3,700,700,0.0145781,0.00463042,0.104762,0.143682,0.0389167,0.307524,0.0315722,-0.0398532,0.0033418,1.57266,0.689625,8.20025,698.486
5,0.025,0.003,0.001,15.7183,2000,1.23004,1.16262,2.31525,1.30514,227.906,235.188,820.462,846.675,2.9375,1.46875,1.61832e+06,11042.1,11080.5,700,700,0.0441562,0.00494582,0.13226,0.175941,0.0436793,0.369994,0.0447807,-0.044294,0.00278462,1.56426,0.542535,5.07455,771.352
6,0.025,0.003,0.001,15.1243,2000,1.30556,1.22918,2.47109,1.39125,219.031,230,788.512,828,2.6875,1.40625,1.68259e+06,11091.8,11126.9,700,700,0.0478125,0.00489212,0.145813,0.183803,0.0379921,0.299552,0.039004,-0.0384178,0.00203009,1.55038,0.573011,4.97999,841.198
7,0.025,0.003,0.001,14.3176,2000,1.45047,1.36195,2.68484,1.55053,223.031,238.719,802.913,859.387,2.25,1.5,1.71924e+06,11120.5,11153.1,700,700,0.0631094,0.00550484,0.209062,0.248377,0.0393133,0.38938,0.0377692,-0.0400044,0.00227887,1.53561,0.389441,4.53552,907.789
8,0.025,0.003,0.001,13.1124,2000,1.95567,1.82615,3.16228,2.10405,266.344,285.562,958.837,1028.03,2.25,1.5,1.76541e+06,11103,11132,700,700,0.0865313,0.00618575,0.28047,0.309942,0.0294765,0.379295,0.0379459,-0.0301555,0.00217927,1.50784,0.58065,4.35333,969.141
9,0.0125,0.003,0.001,12.0011,2000,2.68205,2.49467,3.65775,2.89908,324.938,345.031,1169.78,1242.11,4.0625,2.375,1.84362e+06,11086.8,11112.6,700,700,0.0709531,0.0053155,0.335806,0.341032,0.00522915,0.202969,0.0368185,-0.00620585,0.00333173,1.46244,1.26445,3.95101,1025.43
