step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,17.739,2000,0.347317,0.327282,0.651701,0.369457,111.125,92.875,400.05,334.35,7.83333,3.08333,1.60467e+06,9183.82,9242.39,850,850,0.00727083,-0.000106612,-0.00219406,0.0296147,0.0318087,8.13355e-05,0.0442838,-0.0342311,0.00166393,1.09697,17.0145,4.20091,432.148
1,0.1,0.01,0.001,17.241,2000,0.460512,0.432865,0.801771,0.491184,135.875,118.458,489.15,426.45,9.83333,3.79167,1.59699e+06,9170.48,9226.36,850,850,0.0100625,5.22856e-05,-0.138797,-0.0139119,0.124866,0.0494351,0.0477167,-0.129282,0.00237514,1.0909,18.5284,3.70538,852.327
2,0.05,0.01,0.001,16.4949,2000,0.508155,0.476,0.879471,0.544081,141.542,124.708,509.55,448.95,10.4167,4.04167,1.58562e+06,9160.27,9213.69,850,850,0.0102708,-0.00014774,-0.0749392,-0.00171573,0.0731828,0.0414734,0.0417916,-0.0795154,0.00218919,1.08494,19.4791,4.07065,1254.8
3,0.025,0.01,0.001,16.3079,2000,0.67974,0.634024,1.1249,0.731188,165.583,157.875,596.1,568.35,7.66667,2.70833,1.59684e+06,9156.51,9205.53,850,850,0.0406042,0.00282588,-0.0209395,0.262993,0.283955,0.0665072,0.0412623,-0.286865,0.00218464,1.07024,16.7591,3.93224,1652.81
4,0.0125,0.01,0.001,15.8383,2000,0.743693,0.698354,1.3768,0.794652,163.958,163.792,590.25,589.65,3.33333,1.41667,1.61267e+06,9154.03,9199.04,850,850,0.0652292,0.00635589,0.220034,0.621223,0.401185,0.102792,0.043557,-0.397494,0.00365374,1.06324,7.4058,3.95807,2039.63
5,0.00625,0.01,0.001,14.5037,2000,0.778155,0.73526,1.61373,0.825799,161.792,163.708,582.45,589.35,3.25,1.625,1.61757e+06,9168.7,9211.65,850,850,0.0656042,0.00629506,0.323295,0.630843,0.307637,-0.687667,0.0427691,-0.302292,0.00310464,1.04282,6.87503,3.51603,2394.04
6,0.00625,0.01,0.001,14.1225,2000,0.905965,0.85877,1.91992,0.958153,183.125,186.75,659.25,672.3,3.75,2.125,1.65212e+06,9157.48,9198.81,850,850,0.074625,0.00743312,0.428667,0.74055,0.311904,0.307647,0.0377129,-0.313243,0.00341788,1.03672,7.67845,3.46874,2739.16
7,0.00625,0.01,0.001,13.9366,2000,1.21422,1.1558,2.32119,1.27865,236.042,240.708,849.75,866.55,4.5,3,1.61767e+06,9124,9163.89,850,850,0.0978542,0.0109056,0.720049,1.06852,0.348399,0.338617,0.0436438,-0.350049,0.00429929,1.01003,7.24003,3.72889,3080.35
8,0.00625,0.01,0.001,13.5788,2000,1.448,1.38027,2.53888,1.52244,271.542,278.667,977.55,1003.2,3.66667,2.125,1.66175e+06,9112.05,9151.53,850,850,0.121,0.012598,1.10649,1.23459,0.12815,0.36845,0.0432637,-0.0999432,0.00331113,0.996268,6.99439,3.32269,3412.55
9,0.00625,0.01,0.001,13.6528,2000,1.8653,1.7832,2.85693,1.95519,348.5,352.125,1254.6,1267.65,8.625,5.125,1.6634e+06,9088.89,9127.28,850,850,0.132938,0.0135339,1.41478,1.29254,-0.122315,0.189783,0.0437069,0.120704,0.00238963,0.970073,15.0072,3.13695,3746.47
