step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.003,0.001,21.8293,2000,0.574187,0.537369,0.964893,0.614924,170.438,149.5,613.575,538.2,13.375,4.46875,1.59577e+06,11173.2,11229.5,700,700,-2.8391,-0.00565867,0.00141909,-0.0896797,-0.0910989,0.00146678,0.0504958,0.0913148,0.00075244,1.60869,2.47285,30.2006,121.588
1,0.1,0.003,0.001,21.5839,2000,0.546799,0.511191,0.935637,0.586231,165,142.562,594,513.225,13.1875,4.40625,1.60821e+06,11146.3,11203.3,700,700,-9.07667,-0.00254243,-0.0939805,-0.122358,-0.0283773,0.24327,0.0490065,0.0279264,0.000570674,1.60746,1.34673,51.6777,265.258
2,0.05,0.003,0.001,21.7549,2000,0.515026,0.481149,0.925516,0.552568,151.5,133.688,545.4,481.275,10.875,3.125,1.61007e+06,11122.2,11178.5,700,700,-1.92033,0.00121703,-0.129611,-0.0897213,0.0398886,0.505809,0.0513687,-0.0397892,0.0013321,1.60496,0.286469,49.8435,406.815
3,0.025,0.003,0.001,20.9716,2000,0.589959,0.553542,1.05658,0.630636,163.875,147.438,589.95,530.775,10.125,3.8125,1.57965e+06,11194.1,11247.7,700,700,-1.96294,0.000964397,-0.0729127,-0.047617,0.0253003,0.5168,0.0512942,-0.0262203,0.00211382,1.59967,0.350799,43.051,538.944
4,0.025,0.003,0.001,19.5065,2000,0.83804,0.787098,1.3999,0.895434,206.781,196.562,744.413,707.625,8.75,3.71875,1.58459e+06,11125.5,11174.9,700,700,-1.10329,0.0014128,-0.0419701,-0.015674,0.0262963,0.514635,0.0441658,-0.0271034,0.0020863,1.59194,0.306865,32.4429,655.527
5,0.025,0.003,0.001,18.4924,2000,0.973969,0.916869,1.74006,1.03781,212.688,211.562,765.675,761.625,6.125,2.375,1.63203e+06,11089.5,11134,700,700,-0.277006,0.00308058,0.00373066,0.0490379,0.045305,0.581051,0.0269502,-0.0454762,0.00154585,1.58437,0.0166092,20.2519,755.015
6,0.0125,0.003,0.001,18.4704,2000,0.959783,0.908322,1.8841,1.01696,199.906,203.531,719.662,732.713,4,1.96875,1.66041e+06,11106.1,11149,700,700,-0.122281,0.00331011,0.0357357,0.0787513,0.0430147,0.664938,0.0411356,-0.0431168,0.000962403,1.58037,0.00894337,14.4797,845.455
7,0.00625,0.003,0.001,17.5147,2000,1.0663,1.00809,2.06686,1.13119,209.094,216.375,752.737,778.95,2.3125,1.34375,1.66122e+06,11111.6,11152.3,700,700,0.0191948,0.00343847,0.0829754,0.118251,0.0352739,0.710258,0.0441393,-0.0353127,0.000695638,1.58302,0.00324425,8.62446,929.125
8,0.003125,0.003,0.001,16.0321,2000,1.1581,1.09172,2.1923,1.23237,215.875,223.25,777.15,803.7,1.75,0.90625,1.66838e+06,11066.8,11105.3,700,700,0.0169094,0.00327365,0.129773,0.152423,0.0226507,0.656713,0.0387784,-0.0226916,0.00186842,1.58226,0.00929825,5.43511,1002.14
9,0.003125,0.003,0.001,16.3167,2000,1.1338,1.05951,2.042,1.21798,205.875,215.375,741.15,775.35,3,1.28125,1.68635e+06,11100.3,11138.3,700,700,-0.0823965,0.0027862,0.159381,0.168865,0.00948382,0.459691,0.0395861,-0.00965965,0.00235747,1.57906,0.0236217,5.3064,1077.41
10,0.003125,0.003,0.001,17.5025,2000,0.927415,0.86584,1.70513,0.997513,184.188,189.812,663.075,683.325,2.625,1.28125,1.64348e+06,11126.2,11167.4,700,700,-0.0806339,0.00282527,0.17321,0.183327,0.0101172,0.580016,-0.051781,-0.0101588,0.00169559,1.57699,0.0193299,10.2347,1160.11
11,0.003125,0.003,0.001,18.7812,2000,0.773032,0.720747,1.43967,0.832906,169.062,171.031,608.625,615.713,1.9375,1,1.64147e+06,11097.8,11142.8,700,700,-0.00765343,0.00291688,0.182186,0.193493,0.0113076,0.589986,0.0426673,-0.0113007,0.00104419,1.57553,0.00550834,21.2383,1261.48
12,0.0015625,0.003,0.001,19.8532,2000,0.654099,0.609479,1.24643,0.705194,159.531,154.75,574.312,557.1,3.25,1.6875,1.61445e+06,11128.8,11177.9,700,700,-0.134491,0.0025046,0.188048,0.192587,0.00453853,0.452047,0.0338441,-0.00464985,0.00129854,1.57357,0.0136274,34.1583,1379.56
13,0.00078125,0.003,0.001,20.8449,2000,0.526429,0.491022,1.06469,0.56682,139.688,132.969,502.875,478.688,2.75,1.28125,1.59758e+06,11133.9,11186.9,700,700,-0.0798417,0.00249236,0.188763,0.193736,0.0049728,0.51724,0.0485014,-0.00489568,0.00134471,1.57173,0.00964429,44.6674,1512.63
14,0.00078125,0.003,0.001,22.7347,2000,0.428598,0.399803,0.862927,0.461363,125.062,113.344,450.225,408.037,3.25,1.5,1.60564e+06,11157.9,11214.9,700,700,-0.137886,0.00220799,0.190773,0.192288,0.00151539,0.540954,0.0501129,-0.00151975,0.00141324,1.57602,0.0201683,57.0127,1660.22
15,0.00078125,0.003,0.001,21.9559,2000,0.456578,0.42469,0.881781,0.493009,133.938,120.438,482.175,433.575,3.25,1.34375,1.58447e+06,11177.5,11234.6,700,700,-0.131009,0.00220938,0.191357,0.192096,0.000739104,0.484526,-0.0520004,-0.000766426,0.000533224,1.5771,0.0113842,57.4618,1808.34
16,0.000390625,0.003,0.001,23.5968,2000,0.449825,0.420507,0.875727,0.483125,131.781,119.281,474.413,429.412,4.25,2,1.59985e+06,11100.5,11157.8,700,700,-0.20306,0.0019495,0.191282,0.188021,-0.00326092,0.409916,0.0511472,0.0032317,0.00122671,1.57553,0.0222776,63.3699,1972.15
17,0.000195313,0.003,0.001,23.1686,2000,0.431268,0.402764,0.835065,0.463605,129.594,115.969,466.538,417.488,3.5625,1.78125,1.60885e+06,11142,11199.9,700,700,-0.106525,0.0021707,0.187713,0.188975,0.00126203,0.512023,0.050992,-0.00130493,0.000674775,1.58034,0.00573239,70.3983,2142.22
18,9.76563e-05,0.003,0.001,23.0606,2000,0.408747,0.380656,0.778545,0.44093,123.094,108.625,443.138,391.05,3.5625,1.625,1.60044e+06,11146.4,11204.3,700,700,-0.126094,0.00189123,0.189126,0.186028,-0.00309744,0.397335,0.0517121,0.00312623,0.000741731,1.58161,0.0150524,70.7691,2311.52
19,4.88281e-05,0.003,0.001,23.4633,2000,0.387193,0.361057,0.753483,0.41687,121.094,105.875,435.938,381.15,4,1.875,1.61109e+06,11158.4,11217.9,700,700,-0.225756,0.00157861,0.182383,0.175512,-0.00687072,0.368842,0.0532081,0.00691661,0.00163419,1.57834,0.0395842,65.3314,2476.84
20,2.44141e-05,0.003,0.001,22.5717,2000,0.448891,0.418062,0.876125,0.484121,130.938,119.062,471.375,428.625,3.375,1.53125,1.62428e+06,11113.7,11170.5,700,700,-0.154061,0.00173824,0.176813,0.172731,-0.00408112,0.39136,0.0494913,0.00404971,0.000685546,1.58021,0.0205938,62.4609,2635.63
21,1.2207e-05,0.003,0.001,22.6718,2000,0.441428,0.41194,0.873528,0.475129,125.938,115.812,453.375,416.925,2.5,1.28125,1.6023e+06,11208.6,11264.4,700,700,-0.0777491,0.00195629,0.172032,0.173131,0.00109785,0.522911,0.0344418,-0.00110628,0.000618003,1.58091,0.00982319,80.1307,2811.91
22,6.10352e-06,0.003,0.001,24.061,2000,0.423373,0.394785,0.819278,0.455831,124.438,111.562,447.975,401.625,3.6875,1.75,1.62753e+06,11174.7,11231.9,700,700,-0.16057,0.0016288,0.170664,0.166257,-0.00440645,0.36938,0.0398043,0.00450171,0.000727676,1.58169,0.0204644,68.5698,2982.5
23,3.05176e-06,0.003,0.001,23.2073,2000,0.419683,0.389251,0.818483,0.454296,124.125,111.281,446.85,400.612,2.9375,1,1.60786e+06,11147.3,11204.4,700,700,-0.0844212,0.00174862,0.165234,0.163841,-0.00139233,0.400002,0.0526028,0.00137683,0.00102948,1.57723,0.0146604,76.6157,3158.8
24,1.52588e-06,0.003,0.001,23.4587,2000,0.368369,0.342219,0.7749,0.398376,105.375,95.9062,379.35,345.263,2.0625,0.84375,1.63826e+06,11181.1,11236.2,700,700,-0.0620034,0.00182339,0.166588,0.167,0.000412125,0.537062,0.0508571,-0.000397955,0.00108803,1.58051,0.00843238,65.1113,3322.46
25,7.62939e-07,0.003,0.001,24.0858,2000,0.431537,0.40175,0.89312,0.465536,120.312,113.375,433.125,408.15,2.125,1,1.6446e+06,11129.8,11184.6,700,700,-0.0378247,0.00186103,0.166968,0.167088,0.000120035,0.447676,0.0371631,-0.000150213,0.000343871,1.57992,0.00801839,99.1264,3524.79
26,3.8147e-07,0.003,0.001,24.3635,2000,0.421837,0.392785,0.825591,0.45505,125.469,110.188,451.688,396.675,2.9375,1.625,1.61171e+06,11135.5,11192.1,700,700,-0.101384,0.00168606,0.16505,0.163335,-0.00171545,0.412986,0.0454091,0.00172317,0.00114482,1.58203,0.0106238,110.002,3735.8
27,1.90735e-07,0.003,0.001,24.6568,2000,0.502006,0.468235,0.990405,0.540565,140.75,129.406,506.7,465.863,2.75,1.375,1.5991e+06,11135.5,11190.1,700,700,-0.11738,0.00155632,0.163753,0.159798,-0.0039559,0.353241,0.048046,0.0038883,0.000869208,1.57977,0.0200417,100.834,3942.25
28,9.53674e-08,0.003,0.001,23.5909,2000,0.46929,0.437063,0.90961,0.50597,132.469,125.031,476.887,450.113,2.9375,1.375,1.64853e+06,11175.9,11231.7,700,700,-0.11628,0.00159517,0.157749,0.154822,-0.00292542,0.356616,0.0387412,0.00287534,0.00103709,1.58195,0.0164595,77.6073,4120.24
29,4.76837e-08,0.003,0.001,23.5174,2000,0.437326,0.40623,0.839374,0.472933,127.125,117.031,457.65,421.312,3.1875,1.59375,1.6266e+06,11191.7,11248.6,700,700,-0.0816827,0.00156761,0.153017,0.15117,-0.00184711,0.366292,0.0567295,0.00181579,0.0011181,1.58243,0.0127054,83.3951,4304.87
30,2.38419e-08,0.003,0.001,23.1811,2000,0.481235,0.446944,0.946975,0.520589,132.562,123.844,477.225,445.837,2.5,1.09375,1.60066e+06,11092.7,11147.1,700,700,-0.0549322,0.00159673,0.152725,0.150938,-0.00178669,0.376052,0.0374621,0.00176285,0.00148871,1.5779,0.0135831,70.3554,4474.51
31,1.19209e-08,0.003,0.001,23.7117,2000,0.44088,0.412625,0.957565,0.47311,122.031,113.406,439.312,408.262,3.0625,1.84375,1.64166e+06,11153.5,11207.9,700,700,-0.129245,0.00131718,0.151311,0.145628,-0.00568352,0.368457,0.0368155,0.00567524,0.000827123,1.57383,0.027556,65.7239,4639.4
32,5.96046e-09,0.003,0.001,22.8307,2000,0.440584,0.410589,1.00025,0.474872,119.812,112,431.325,403.2,2,1.1875,1.61104e+06,11149.9,11203.1,700,700,-0.0227572,0.00172003,0.145953,0.147503,0.0015494,0.452673,0.0378902,-0.00153173,0.00113461,1.57255,0.00636672,63.1932,4799.8
33,2.98023e-09,0.003,0.001,22.484,2000,0.477848,0.443498,1.07355,0.517367,125.094,118.812,450.338,427.725,1.3125,0.59375,1.61924e+06,11113.3,11165,700,700,-0.00525869,0.00171686,0.148891,0.14978,0.000889616,0.579292,0.0373797,-0.000918623,0.000910428,1.57095,0.0163217,59.2579,4954.57
34,1.49012e-09,0.003,0.001,22.7946,2000,0.462348,0.429294,0.97546,0.500368,127,120.062,457.2,432.225,1.25,0.6875,1.6143e+06,11166.1,11220.3,700,700,0.00872981,0.00176074,0.147014,0.148965,0.00195096,0.525588,0.0372178,-0.00199005,0.00082917,1.57714,0.00518858,57.8481,5109.41
