step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,19.5686,2000,0.36796,0.345022,0.661895,0.393189,117.333,98.2917,422.4,353.85,9.25,2.95833,1.62157e+06,11154.8,11213.6,700,700,-0.0433542,-0.00100073,0.000557842,-0.0993132,-0.099871,-2.50985e-05,0.0364051,0.105322,0.0019826,1.09668,39.2321,19.848,491.499
1,0.1,0.01,0.001,19.1701,2000,0.500475,0.468487,0.820795,0.535921,150.375,128.083,541.35,461.1,13.3333,4.91667,1.58762e+06,11145.5,11201.8,700,700,-0.0692917,-0.00118085,-0.158239,-0.155463,0.00276399,0.0143299,0.0374546,-0.0069683,0.00129351,1.09485,22.8693,11.0257,965.263
2,0.05,0.01,0.001,18.5469,2000,0.620552,0.57963,0.998394,0.666474,163.125,151.333,587.25,544.8,8.58333,2.75,1.58214e+06,11148.1,11200,700,700,-0.0101667,0.00163659,-0.00998561,0.112342,0.122341,0.0107792,0.042496,-0.125236,0.00203553,1.08457,14.8181,14.4819,1427.7
3,0.025,0.01,0.001,17.7628,2000,0.607732,0.567782,1.03564,0.652963,146.333,140.625,526.8,506.25,5,1.66667,1.56709e+06,11165.7,11214.8,700,700,0.0203125,0.00321286,-0.00541018,0.256797,0.262189,-1.1301,0.0340713,-0.266106,0.00058893,1.0889,9.55244,9.13942,1865.89
4,0.0125,0.01,0.001,17.3028,2000,0.766212,0.716717,1.26695,0.821999,176.542,172.958,635.55,622.65,5.41667,2,1.57909e+06,11109.6,11156.3,700,700,0.0323125,0.00339919,0.175579,0.297294,0.121687,-0.100349,0.0359151,-0.124399,0.00290533,1.07891,10.7444,6.86514,2290.89
5,0.00625,0.01,0.001,17.1125,2000,0.856341,0.805814,1.48902,0.913065,186.25,184.583,670.5,664.5,4.08333,1.79167,1.54703e+06,11132.1,11176.1,700,700,0.0514583,0.00462545,0.246995,0.429433,0.18245,-0.0615641,0.0370576,-0.18341,0.00211702,1.0726,7.99371,6.74629,2711.34
6,0.00625,0.01,0.001,16.8591,2000,0.948643,0.896369,1.77924,1.00694,196.292,199.167,706.65,717,2.75,1.45833,1.6092e+06,11128,11170.6,700,700,0.0720833,0.00600792,0.369946,0.548033,0.178079,0.132437,0.036963,-0.178017,0.00432709,1.05342,5.21169,11.2649,3130.32
7,0.00625,0.01,0.001,17.0302,2000,1.07834,1.02179,2.02947,1.14088,220.458,223.5,793.65,804.6,3.83333,1.91667,1.62199e+06,11091,11132.7,700,700,0.0734167,0.00550736,0.456411,0.510059,0.0536565,0.181805,0.0356259,-0.0545174,0.00108181,1.0494,8.24299,7.66591,3549.87
8,0.003125,0.01,0.001,17.0382,2000,1.11676,1.06234,2.17309,1.17678,225.708,229.417,812.55,825.9,2.33333,1.5,1.58708e+06,11105.4,11146.9,700,700,0.091375,0.00690073,0.509546,0.653947,0.1444,0.293382,0.0371814,-0.144932,0.00359094,1.02679,3.69889,5.99309,3968.13
9,0.003125,0.01,0.001,16.8082,2000,1.22002,1.16155,2.29683,1.2843,244.375,246.458,879.75,887.25,3.83333,2.25,1.59392e+06,11097.7,11139.2,700,700,0.0848958,0.00608361,0.645981,0.595502,-0.0504453,0.0413052,0.0342502,0.0569603,0.00217397,1.01761,7.48468,5.76019,4380.66
