step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,18.4542,2000,0.414341,0.387312,0.711949,0.444127,130.458,110.417,469.65,397.5,9.33333,2.91667,1.59227e+06,11151,11210,700,700,0.00854167,0.000770644,-0.000819974,0.0597602,0.0605801,0.00011191,0.0432167,-0.0626225,0.00143044,1.09717,4.33383,4.6417,449.737
1,0.1,0.01,0.001,17.6152,2000,0.491891,0.461844,0.832761,0.525363,143.333,125.708,516,452.55,9.83333,3.79167,1.57154e+06,11161.7,11217.1,700,700,0.0136875,0.000359131,0.0654358,0.0300717,-0.0353737,0.00458839,0.0420337,0.0317645,0.00150025,1.09456,4.59199,4.76004,879.86
2,0.05,0.01,0.001,17.5325,2000,0.524105,0.491735,0.85614,0.560104,151.208,133.958,544.35,482.25,10.0833,3.5,1.58015e+06,11117.8,11173.2,700,700,0.0165625,0.000682028,0.0461743,0.0528167,0.00663148,0.0297923,0.0429543,-0.01024,0.00114004,1.0951,4.68823,4.58385,1307.91
3,0.025,0.01,0.001,16.5875,2000,0.617487,0.572718,1.01335,0.668096,159.167,146.958,573,529.05,9.58333,3.25,1.59978e+06,11127.9,11178.7,700,700,0.0255625,0.00152613,0.0576099,0.116531,0.0589122,0.0408589,0.0381698,-0.06289,0.00259815,1.08226,4.735,4.71194,1713.35
4,0.0125,0.01,0.001,15.842,2000,0.70724,0.66185,1.23417,0.758346,165.083,159.958,594.3,575.85,6.16667,2.25,1.59673e+06,11158,11205.1,700,700,0.0491458,0.00488638,0.166376,0.438249,0.271866,0.0586563,0.0476751,-0.271514,0.00260391,1.0834,2.94648,4.64774,2101.13
5,0.00625,0.01,0.001,15.1225,2000,0.892959,0.841869,1.6011,0.95007,193.708,192.792,697.35,694.05,5.25,2.58333,1.60113e+06,11113.1,11157.1,700,700,0.0701458,0.00797836,0.457269,0.683355,0.226078,0.0979666,0.0464573,-0.227073,0.00200407,1.07222,2.34887,4.55324,2471.14
6,0.003125,0.01,0.001,14.9514,2000,1.06217,1.00273,1.90917,1.12839,219.208,222.167,789.15,799.8,4.16667,1.83333,1.63059e+06,11107.9,11150.3,700,700,0.09025,0.0101584,0.71909,0.862996,0.14391,0.133197,0.0452226,-0.144155,0.00343737,1.06519,2.10965,4.57117,2837.57
7,0.0015625,0.01,0.001,14.6024,2000,1.37993,1.3041,2.22834,1.46464,264.75,269.958,953.1,971.85,4.41667,2.41667,1.64537e+06,11048.6,11088.2,700,700,0.112896,0.0134624,0.912119,1.09266,0.180547,0.152118,0.0445933,-0.182212,0.00139196,1.05596,1.90451,4.26574,3195.38
8,0.00078125,0.01,0.001,14.19,2000,1.74061,1.63646,2.55719,1.85861,289.542,299.958,1042.35,1079.85,4.75,2.95833,1.70923e+06,11037.5,11072.3,700,700,0.126229,0.0164291,1.13134,1.25514,0.123799,0.111863,0.0429644,-0.124317,0.00233545,1.0353,1.9199,4.16132,3543.15
9,0.000390625,0.01,0.001,13.3627,2000,2.30342,2.15875,2.98793,2.46883,335.25,347.583,1206.9,1251.3,7.33333,4.625,1.74284e+06,11049.2,11079.7,700,700,0.137125,0.018937,1.27656,1.3269,0.0503475,0.0133938,0.0410908,-0.0485286,0.00276182,1.02717,2.63849,3.96569,3870.84
10,0.000195313,0.01,0.001,13.1384,2000,2.39243,2.2326,3.03313,2.57583,336.375,349.958,1210.95,1259.85,6.08333,3.08333,1.7285e+06,11046.1,11075.5,700,700,0.144563,0.0178088,1.32318,1.22634,-0.0968542,0.0313926,0.041005,0.0960739,0.00273002,1.01471,2.44655,3.85951,4193.16
11,9.76563e-05,0.01,0.001,12.567,2000,2.46863,2.29242,3.17453,2.67322,319.5,335.75,1150.2,1208.7,5.58333,3.125,1.71693e+06,11070.5,11097.8,700,700,0.139958,0.0169915,1.23753,1.15858,-0.0789455,0.03475,0.0385659,0.0787295,0.00413843,0.995502,2.06312,3.8128,4501.73
12,9.76563e-05,0.01,0.001,12.1973,2000,2.89997,2.69823,3.42672,3.13388,362.625,379.292,1305.45,1365.45,7.08333,4.45833,1.80817e+06,11069.1,11095.5,700,700,0.154229,0.0190169,1.16534,1.21526,0.0499303,0.0189323,0.0359988,-0.049609,0.00214787,0.9974,2.01625,3.85273,4801.09
13,4.88281e-05,0.01,0.001,12.0884,2000,2.8784,2.67085,3.38227,3.12043,354.042,372.625,1274.55,1341.45,6.58333,3.95833,1.91578e+06,11056.7,11082.8,700,700,0.153396,0.0173025,1.19939,1.10544,-0.0939387,0.0402551,0.0398598,0.0933742,0.00365371,0.987758,1.89223,3.83644,5098.41
14,2.44141e-05,0.01,0.001,12.7132,2000,2.83711,2.64704,3.31026,3.05604,373.375,389.542,1344.15,1402.35,7,4.16667,1.79326e+06,11057.5,11085.2,700,700,0.159771,0.0156314,1.09401,1.0323,-0.06171,0.0445342,0.0371515,0.0620653,0.00200358,0.995306,1.77064,3.65907,5410.61
15,1.2207e-05,0.01,0.001,12.2433,2000,3.08797,2.86604,3.43625,3.34699,378.417,394.667,1362.3,1420.8,6.95833,4.5,1.77977e+06,11056.8,11082.6,700,700,0.162542,0.0169414,1.07117,1.05087,-0.0202943,0.0281918,0.0374173,0.0214489,0.00162747,0.981695,1.73529,3.8721,5711.93
16,6.10352e-06,0.01,0.001,12.5484,2000,2.98344,2.77146,3.36051,3.22956,379,394.417,1364.4,1419.9,7.33333,3.91667,1.83643e+06,11026.9,11054.2,700,700,0.160542,0.0143059,1.0126,0.897499,-0.115081,0.0412155,0.0370747,0.136645,0.00368044,0.978802,2.09869,3.83537,6020.59
17,3.05176e-06,0.01,0.001,12.7806,2000,2.90721,2.71266,3.30873,3.13199,378.833,391.208,1363.8,1408.35,8.75,5.16667,1.74644e+06,11068.4,11096.8,700,700,0.151854,0.0120932,0.889844,0.766959,-0.122867,0.053619,0.0394608,0.160076,0.00330238,0.964571,2.05756,3.99487,6335.27
18,1.52588e-06,0.01,0.001,12.7264,2000,3.16821,2.96617,3.49773,3.39925,421.958,432.958,1519.05,1558.65,9.75,5.66667,1.75234e+06,11047.7,11075.5,700,700,0.167729,0.0133707,0.894209,0.877265,-0.0169056,-0.00599483,0.0385213,0.015139,0.00197924,0.957031,2.08923,3.81152,6648.51
19,7.62939e-07,0.01,0.001,12.457,2000,3.2003,2.98781,3.44579,3.44524,416.25,428.833,1498.5,1543.8,9,5.29167,1.74017e+06,11004.5,11031.7,700,700,0.169417,0.0134502,0.875044,0.882097,0.00705718,0.0331447,0.0401534,-0.00793022,0.00266049,0.964881,1.87613,4.22742,6955.84
20,3.8147e-07,0.01,0.001,12.2186,2000,3.32102,3.089,3.54006,3.59038,412.375,427.875,1484.55,1540.35,7.375,4.58333,1.80453e+06,11038.1,11064.2,700,700,0.177062,0.0150226,0.894159,0.940831,0.0466832,0.0357991,0.0391193,-0.047633,0.0020705,0.969568,1.5885,4.02347,7257.37
21,1.90735e-07,0.01,0.001,12.5437,2000,3.13342,2.9112,3.3592,3.39178,387.625,402.875,1395.45,1450.35,8.08333,4.70833,1.83896e+06,11048.1,11075.4,700,700,0.161021,0.0119458,0.917457,0.758842,-0.158595,0.0484082,0.0381768,0.221833,0.00217877,0.9907,1.85103,3.99646,7566.73
22,9.53674e-08,0.01,0.001,12.1543,2000,3.27082,3.0262,3.52277,3.55717,387.625,404.417,1395.45,1455.9,7.91667,4.33333,1.80609e+06,11006,11031,700,700,0.162625,0.0124776,0.833426,0.825639,-0.00774628,0.0301873,0.0381496,0.00705195,0.00286733,0.98385,1.87262,3.90718,7866.76
23,4.76837e-08,0.01,0.001,11.6356,2000,3.36385,3.09781,3.59277,3.67913,373.042,393.292,1342.95,1415.85,7.25,4.41667,1.86391e+06,10997.7,11021.3,700,700,0.160396,0.013317,0.836455,0.861068,0.0246579,0.0417831,0.0378874,-0.0255633,0.00123137,0.971649,1.63425,3.69442,8154.21
24,2.38419e-08,0.01,0.001,11.8679,2000,3.34269,3.08626,3.58212,3.64522,380.333,397.5,1369.2,1431,8.5,5.16667,1.82738e+06,11004.9,11028.9,700,700,0.15625,0.0118301,0.852438,0.790343,-0.0620637,0.0445335,0.0368616,0.0617918,0.00337767,0.963262,1.93007,4.00246,8447.66
25,1.19209e-08,0.01,0.001,11.8979,2000,3.28323,3.03525,3.49217,3.57601,382.917,398.333,1378.5,1434,8.75,5.70833,1.78907e+06,11047.3,11072.7,700,700,0.155417,0.0110086,0.744532,0.712645,-0.031883,0.0623892,0.0394516,0.066815,0.00248574,0.957664,1.66769,4.19812,8742.3
26,5.96046e-09,0.01,0.001,11.9259,2000,3.43582,3.18558,3.55476,3.72865,412.25,427.25,1484.1,1538.1,9.08333,5.625,1.76556e+06,11018.8,11044,700,700,0.168208,0.0118828,0.761168,0.775079,0.0139602,0.0361362,0.0390478,-0.0149015,0.00217756,0.963582,1.83833,3.88765,9037.46
27,2.98023e-09,0.01,0.001,12.1444,2000,3.40539,3.16117,3.54528,3.68978,413.333,428.292,1488,1541.85,9.33333,5.20833,1.83812e+06,11015.4,11040.9,700,700,0.167479,0.0108007,0.767883,0.720886,-0.0469787,0.053341,0.0391807,0.0454064,0.00225103,0.955581,2.00025,3.90345,9337.99
28,1.49012e-09,0.01,0.001,12.703,2000,3.19763,2.98586,3.44724,3.44106,418.083,429.667,1505.1,1546.8,9.25,5.08333,1.75249e+06,11024.9,11052.9,700,700,0.168583,0.00913935,0.630605,0.609478,-0.0211153,0.0769238,0.0399081,0.0427262,0.00291588,0.967673,1.88498,4.14512,9652.19
