step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.003,0.001,23.5631,2000,0.478509,0.448423,0.843879,0.512041,143.312,123.625,515.925,445.05,11.875,4.53125,1.599e+06,11145.1,11201.6,700,700,-5.90058,-0.0121551,-0.000375467,-0.202979,-0.202603,0.000138428,0.036648,0.202808,0.0011297,1.6083,4.84712,96.3592,194.658
1,0.1,0.003,0.001,20.6499,2000,0.734252,0.686763,1.1454,0.786996,199.406,179.844,717.862,647.438,14.625,4.78125,1.56542e+06,11149.4,11202.5,700,700,-4.53021,-0.00388282,-0.193934,-0.222266,-0.0283297,0.14851,0.0374608,0.0275746,0.000916177,1.60656,1.76948,85.8016,368.542
2,0.05,0.003,0.001,21.659,2000,0.707355,0.663599,1.17119,0.756033,188.531,170.656,678.713,614.362,12.5625,4.40625,1.55501e+06,11082,11134,700,700,-3.32964,0.000308575,-0.216358,-0.173557,0.0428026,0.350211,0.0421991,-0.0433877,0.00120188,1.60394,0.280391,76.386,536.837
3,0.025,0.003,0.001,19.8615,2000,0.781205,0.734844,1.31629,0.832755,196.469,183.469,707.287,660.487,10.875,4.28125,1.57385e+06,11130,11180.2,700,700,-1.67848,0.00157336,-0.154887,-0.102649,0.0522382,0.415678,0.0487222,-0.0526559,0.00151005,1.59881,0.0940484,68.3596,691.663
4,0.0125,0.003,0.001,18.8815,2000,0.870503,0.82562,1.62389,0.920006,201.906,195.75,726.862,704.7,7.59375,3.09375,1.57947e+06,11133,11180.1,700,700,-0.683115,0.0024945,-0.0871019,-0.0321206,0.0549786,0.525435,0.0437574,-0.0553178,0.00142395,1.59151,0.0182624,55.4124,829.521
5,0.00625,0.003,0.001,18.1202,2000,0.992617,0.938911,1.91544,1.05203,210.781,211.312,758.812,760.725,5.1875,1.90625,1.64019e+06,11183.1,11226.7,700,700,-0.266736,0.00272536,-0.0228443,0.0229649,0.045811,0.5621,0.0413257,-0.045834,0.00104288,1.58957,0.00730811,40.5282,949.622
6,0.003125,0.003,0.001,17.0276,2000,1.20213,1.13765,2.22347,1.27354,234.938,239.094,845.775,860.737,4.40625,2,1.63722e+06,11124.6,11164.8,700,700,-0.149362,0.00269873,0.0351813,0.0680927,0.0329115,0.507944,0.0422495,-0.0329666,0.000694033,1.58715,0.0066196,30.8142,1053.22
7,0.0015625,0.003,0.001,16.3539,2000,1.27274,1.19791,2.21292,1.35664,233.062,241.156,839.025,868.162,3.9375,2.03125,1.7046e+06,11090.2,11128.4,700,700,-0.067382,0.00270468,0.077436,0.101899,0.0244617,0.497658,-0.0357826,-0.0244221,0.00112314,1.58473,0.00467422,25.9711,1147.15
8,0.00078125,0.003,0.001,16.0472,2000,1.11412,1.04391,1.95582,1.19376,213.031,216.469,766.912,779.287,2.375,1.3125,1.61559e+06,11124.8,11164.2,700,700,-0.0835281,0.00253435,0.107923,0.124604,0.0166825,0.538214,0.0420213,-0.0168286,0.0013032,1.59061,0.0113643,29.0518,1247.59
9,0.000390625,0.003,0.001,17.344,2000,1.09993,1.0314,1.84768,1.1778,219.312,223.688,789.525,805.275,3.0625,1.75,1.62836e+06,11122.9,11164.2,700,700,-0.0837189,0.00251921,0.127199,0.140101,0.012903,0.510855,0.0427011,-0.0129462,0.0021209,1.58778,0.00402685,36.7788,1358.53
10,0.000390625,0.003,0.001,17.7648,2000,0.880083,0.820752,1.49234,0.947979,192.312,191.625,692.325,689.85,3.6875,1.71875,1.62981e+06,11158.6,11203.4,700,700,-0.146281,0.00221123,0.13936,0.146656,0.00729684,0.50295,0.0439355,-0.00742362,0.00127722,1.58852,0.0117063,49.9405,1486.91
11,0.000195313,0.003,0.001,19.9624,2000,0.726865,0.67898,1.23996,0.781531,178.906,172.562,644.062,621.225,3.75,1.78125,1.59971e+06,11140.1,11189.6,700,700,-0.178729,0.00217677,0.143138,0.150047,0.00690901,0.403746,0.0440654,-0.0069466,0.00102302,1.5867,0.00647472,67.4781,1638.18
