step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,17.8482,2000,0.548873,0.517386,0.937177,0.583659,163.833,142.833,589.8,514.2,12.25,4.79167,1.57634e+06,11141.1,11197.8,700,700,-0.234833,0.00084471,-5.86236e-05,0.0112527,0.0113113,-9.80248e-06,0.0437056,-0.0108346,0.000483731,1.60896,2.32408,8.13952,438.719
1,0.1,0.01,0.001,16.9824,2000,0.635292,0.59633,1.03982,0.678392,185.875,162.292,669.15,584.25,15.0833,5.33333,1.57674e+06,11135.9,11191.8,700,700,-0.295938,-0.00152937,0.00411396,-0.0268324,-0.0309437,0.0434879,0.042021,0.0297399,0.00179299,1.60577,2.40335,8.0515,857.069
2,0.05,0.01,0.001,17.6587,2000,0.602149,0.566323,1.12131,0.64148,165.958,149.042,597.45,536.55,10.75,3.41667,1.57633e+06,11118.1,11171.4,700,700,-0.194229,0.0006124,-0.00818628,-0.00633272,0.00185413,0.154749,0.0411303,-0.00347462,0.00217492,1.60075,1.63359,20.2592,1303.99
3,0.025,0.01,0.001,17.6085,2000,0.761012,0.71989,1.52028,0.805929,188.042,177.5,676.95,639,8.33333,2.625,1.59577e+06,11113.4,11162.7,700,700,-0.119583,0.00164622,-0.00330409,0.0122162,0.0155268,0.257937,0.0398798,-0.0171325,0.00252484,1.59065,1.36168,10.0552,1739.7
4,0.0125,0.01,0.001,17.0438,2000,1.12096,1.0605,2.1348,1.18722,236.417,232.625,851.1,837.45,10.25,3.54167,1.63632e+06,11132.8,11175.7,700,700,-0.139938,-7.37332e-05,0.0636726,0.033051,-0.030632,0.159851,0.040376,0.0289339,0.00317269,1.57286,1.84782,9.848,2161.67
5,0.00625,0.01,0.001,15.9585,2000,1.18407,1.12377,2.35744,1.25039,232.792,236.75,838.05,852.3,4.91667,2.125,1.67939e+06,11124.4,11164.7,700,700,-0.00454167,0.00410863,0.0869361,0.122357,0.0354311,0.264545,0.038719,-0.0360105,0.00213936,1.5579,0.866624,6.01731,2553.92
6,0.003125,0.01,0.001,15.0261,2000,1.34048,1.26952,2.58612,1.41928,239.542,247.792,862.35,892.05,3.5,2.08333,1.6712e+06,11066.2,11103.4,700,700,0.0363958,0.00538542,0.103648,0.156317,0.0526764,0.290103,0.0499367,-0.0534222,0.00268578,1.54734,0.577216,5.65247,2923.62
7,0.0015625,0.01,0.001,14.2364,2000,1.56011,1.46936,2.85782,1.66203,248.375,261.333,894.15,940.8,2.91667,1.75,1.73616e+06,11078,11111.5,700,700,0.05775,0.00571062,0.145403,0.196995,0.0515848,0.32538,0.0540694,-0.0515528,0.00246067,1.53326,0.586344,3.30158,3269.63
8,0.00078125,0.01,0.001,13.5372,2000,1.898,1.78145,3.16145,2.03041,271.542,286.917,977.55,1032.9,3.66667,2.58333,1.75225e+06,11074.9,11105.2,700,700,0.0517917,0.00583098,0.218814,0.25364,0.0348339,0.265623,-0.0522251,-0.0357922,0.00214476,1.5193,0.6771,5.70006,3601.24
9,0.000390625,0.01,0.001,13.1889,2000,2.3005,2.14777,3.44919,2.47569,301.417,319.917,1085.1,1151.7,3.25,2.04167,1.82139e+06,11088.9,11117,700,700,0.0787083,0.00633709,0.281674,0.309647,0.0279697,0.216995,0.0419365,-0.0282488,0.00295912,1.51076,0.832176,2.60721,3923.88
