step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,17.8257,2000,0.489312,0.456892,0.852654,0.525288,146.25,125.292,526.5,451.05,12.5833,4.33333,1.59139e+06,11151.8,11207.8,700,700,-0.251938,-0.00112432,-0.00151601,-0.0220576,-0.0205416,-0.000474304,0.0491264,0.0203316,0.00124896,1.60819,7.01692,9.83472,439.995
1,0.1,0.01,0.001,17.3516,2000,0.647442,0.607916,1.08297,0.691368,178.25,159.75,641.7,575.1,13.3333,5.125,1.58521e+06,11113.7,11167.1,700,700,-0.253458,0.000163483,-0.0169366,-0.0155053,0.00143464,0.128368,0.0353391,-0.00223111,0.00141324,1.60571,2.8514,9.40789,868.323
2,0.05,0.01,0.001,17.822,2000,0.759303,0.712116,1.26332,0.811908,196.333,180.042,706.8,648.15,13.1667,4.875,1.57544e+06,11131.3,11182.4,700,700,-0.239146,-0.000223007,-0.000424881,-0.0118711,-0.0114413,0.115413,0.0544698,0.00932123,0.00260349,1.59774,2.95793,6.186,1305.39
3,0.025,0.01,0.001,16.3652,2000,1.03714,0.975058,1.70429,1.10659,232.958,225.625,838.65,812.25,9.91667,4.08333,1.56793e+06,11099.1,11144.6,700,700,-0.135104,0.00180562,0.0262686,0.0388851,0.0126119,0.152335,0.0526055,-0.014692,0.00245478,1.58515,2.26171,6.34836,1707.61
4,0.0125,0.01,0.001,16.0973,2000,1.02437,0.969687,1.97571,1.08507,212.542,214.875,765.15,773.55,3.83333,1.91667,1.66421e+06,11138.3,11180.8,700,700,0.0116042,0.00510256,0.0527209,0.117321,0.0646122,0.298245,0.0329926,-0.0654422,0.00339253,1.56723,0.853357,6.77025,2103.48
5,0.00625,0.01,0.001,16.9063,2000,0.861913,0.817522,2.01604,0.910763,176.125,181.333,634.05,652.8,2.25,1.08333,1.69244e+06,11135.6,11177.5,700,700,0.0344167,0.00497966,0.0981381,0.154413,0.0562723,0.358189,0.0388464,-0.056583,0.00169517,1.56007,0.601006,9.53966,2521.85
6,0.003125,0.01,0.001,16.5138,2000,0.999512,0.94943,2.24005,1.05461,198.417,204.125,714.3,734.85,2.25,1.20833,1.65912e+06,11105.1,11145.9,700,700,0.0458125,0.00500613,0.153359,0.198908,0.0455369,0.361472,0.043714,-0.0458991,0.0017208,1.55105,0.621864,5.8471,2927.35
7,0.0015625,0.01,0.001,16.2429,2000,1.09201,1.03846,2.37574,1.15101,210.417,217.708,757.5,783.75,1.91667,1.375,1.66808e+06,11100.8,11140.6,700,700,0.0609375,0.00555656,0.177953,0.227531,0.0495689,0.517938,0.037321,-0.0499192,0.00234409,1.5479,0.375237,8.53145,3328.97
8,0.00078125,0.01,0.001,16.3823,2000,1.41302,1.34221,2.71942,1.49132,257.167,264.042,925.8,950.55,4,2.5,1.69207e+06,11085.1,11122.7,700,700,0.0320208,0.00460176,0.22495,0.251764,0.0268069,0.332943,0.0379537,-0.0274251,0.00289546,1.54943,1.09797,8.51026,3734.08
9,0.000390625,0.01,0.001,16.2551,2000,1.75371,1.66122,2.93244,1.85635,301.792,311.875,1086.45,1122.75,3.91667,2.125,1.73428e+06,11079.2,11115,700,700,0.0580208,0.00466794,0.263038,0.278236,0.0151968,0.356372,0.0405968,-0.0163189,0.00223538,1.53984,1.55303,7.33316,4135.04
