Experiment,Type,Outflow (veh/hr),Collisions,Speed (m/s),Speed RL (m/s),Reward
1. RMSProp + PG,Training,1943.5496,24.97222222222222,2.9487544444444445,2.883761111111111,0.0009017969999999999
2. Adam + PG,Training,1664.4255999999998,13.17361111111111,2.372526666666667,2.297614444444444,0.0032134455555555552
3. Adam + PPO (initial),Training,2002.2248,33.791666666666664,2.61585,2.598076666666666,0.19360755555555556
4. Adam + PPO (26.11),Training,1758.3751999999997,14.604166666666666,4.4631855555555555,4.126984444444444,0.17119800000000002
5. Adam + PPO (27.11),Training,1736.0708399999999,13.033330000000001,3.703055,3.4478230000000005,0.1759542
6. Skip500 Fixedtime Yellow3 Flow700X700,Baseline,2066.4,6.0,2.345770520856282,,
7. Skip500 Hpriority Flow700X700,Baseline,1968.0,2.0,2.2255419200253104,,
8. Skip500 Mpbest Yellow3 Flow700X700,Baseline,2173.2,26.0,2.54678333997321,,
9. Skip500 Vpriority Flow700X700,Baseline,1970.4000000000003,2.6666666666666665,2.226907491377514,,
