step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0,0.01,0.0003,69.5442,2000,0.550923,0.520311,0.941621,0.584852,165.875,141.188,597.15,508.275,13.6875,5.65625,1.57847e+06,11103.5,11159.9,700,700,-0.587223,-0.0137973,-0.00514044,-0.232397,-0.227257,0.00111336,0.189642,-0.0011182,0.00668958,1.60264,19.7419,306.763,597.785
1,0,0.01,0.0003,73.0118,2000,0.507157,0.472871,0.841449,0.545214,150.656,130.125,542.362,468.45,11.8125,4.09375,1.61212e+06,11176,11232.2,700,700,-0.281059,0.0113907,0.0716512,0.253976,0.182335,0.0669353,0.224647,-0.00119023,0.00676268,1.59477,0.499399,344.286,1251.73
2,0,0.01,0.0003,63.8596,2000,0.627668,0.587436,1.01256,0.672873,165.844,150.375,597.038,541.35,10,3.65625,1.57831e+06,11129.8,11181.9,700,700,-0.158738,0.0146955,0.605101,0.744974,0.139872,0.102237,0.365389,-0.000764974,0.00639226,1.58579,0.0531435,325.687,1853.88
3,0,0.01,0.0003,58.6588,2000,0.838496,0.780338,1.2928,0.904521,195.031,185.25,702.112,666.9,9.9375,3.65625,1.59316e+06,11135.6,11182.6,700,700,-0.191384,0.00581792,0.981996,0.908482,-0.0735172,0.10536,1.16728,-0.000158085,0.00755652,1.58971,14.6695,335.631,2475.96
4,0,0.01,0.0003,51.532,2000,0.891759,0.83291,1.42504,0.958472,189,186.719,680.4,672.188,7.375,2.9375,1.62497e+06,11115.4,11159.3,700,700,0.000484248,0.0185614,1.13504,1.23681,0.101768,0.169825,0.181601,-0.000938467,0.00954407,1.5752,0.95246,318.993,3020.21
5,0,0.01,0.0003,47.7743,2000,0.927764,0.869785,1.55277,0.993325,181.062,182.781,651.825,658.013,4.875,2.25,1.64678e+06,11132.9,11174.1,700,700,0.0403566,0.018893,1.26063,1.34644,0.0858148,0.271497,0.172546,-0.00182343,0.00864401,1.56825,0.122795,322.934,3569.85
6,0,0.01,0.0003,39.6236,2000,1.00316,0.943667,1.84593,1.06987,169.406,179.875,609.862,647.55,3,1.3125,1.67943e+06,11124,11159.7,700,700,0.0664407,0.0188035,1.42772,1.48137,0.0536436,0.441304,0.150371,-0.0010998,0.00879915,1.54395,0.0575062,314.494,4051.07
7,0,0.01,0.0003,40.9279,2000,0.950909,0.89477,1.70889,1.01389,165.156,175.375,594.562,631.35,2.625,1.25,1.67762e+06,11178,11214.7,700,700,0.0636941,0.0166963,1.46288,1.48462,0.0217386,0.564753,0.132606,-0.00148437,0.0104672,1.53684,0.0883354,309.677,4537.75
8,0,0.01,0.0003,43.8823,2000,0.771641,0.72457,1.41302,0.824408,139.875,148.688,503.55,535.275,1.75,0.78125,1.63295e+06,11121,11159.6,700,700,0.064153,0.0151281,1.48508,1.47661,-0.00847066,0.582852,0.159564,-0.00105042,0.00918857,1.51709,0.0366293,328.708,5055.7
9,0,0.01,0.0003,43.5629,2000,0.658005,0.615,1.21744,0.706515,117.188,126.438,421.875,455.175,2.125,0.875,1.71497e+06,11160.9,11199.5,700,700,0.0510972,0.0129278,1.47833,1.43893,-0.0393926,0.60716,0.160957,-0.00197602,0.00993198,1.49018,0.035895,318.178,5572
10,0,0.01,0.0003,43.7123,2000,0.534094,0.501565,1.05175,0.570658,97.0312,104.375,349.312,375.75,2.1875,1.21875,1.64689e+06,11166.4,11205.3,700,700,0.036795,0.0108138,1.41921,1.36231,-0.056891,0.635581,0.149957,-0.0016334,0.00878909,1.45881,0.0113164,314.498,6076.72
11,0,0.01,0.0003,42.0842,2000,0.488022,0.455439,1.02271,0.524802,84.0312,95.4688,302.513,343.688,1.4375,0.65625,1.75715e+06,11129.6,11167.7,700,700,0.0392699,0.010276,1.37513,1.318,-0.0571194,0.740183,0.167804,-0.00179006,0.0102992,1.43834,0.0639435,311.346,6566.52
12,0,0.01,0.0003,42.0397,2000,0.433802,0.406726,1.09952,0.463784,72.4062,85.3125,260.663,307.125,0.6875,0.375,1.77551e+06,11193.7,11230.8,700,700,0.0396427,0.00993987,1.29809,1.24876,-0.049341,0.878085,0.170836,-0.000428817,0.00939811,1.39682,0.0124625,329.965,7074.98
13,0,0.01,0.0003,48.5481,2000,0.428504,0.40237,1.15845,0.457484,72.2812,85.75,260.212,308.7,0.4375,0.3125,1.73035e+06,11188.9,11226.4,700,700,0.0406624,0.00929872,1.22734,1.181,-0.046334,0.910769,0.172448,0.00159525,0.0114491,1.39878,0.0341887,403.357,7682.46
14,0,0.01,0.0003,55.8559,2000,0.315338,0.29475,1.02323,0.33811,52.1562,64.6562,187.762,232.762,0.59375,0.5,1.74264e+06,11173.8,11211.2,700,700,0.0290729,0.00816486,1.14,1.09026,-0.0497363,0.925891,1.47146,0.00141858,0.0101951,1.34342,0.00689591,512.062,8472.05
15,0,0.01,0.0003,55.677,2000,0.330252,0.309055,1.09481,0.353663,55.125,67.6562,198.45,243.562,0.4375,0.1875,1.74819e+06,11171.9,11209,700,700,0.031572,0.00774789,1.06679,1.02402,-0.0427769,0.925381,0.358351,0.0010133,0.00892444,1.34648,0.0063663,411.615,9122.61
16,0,0.01,0.0003,51.1571,2000,0.290907,0.27036,1.02332,0.313594,44.8125,59.7188,161.325,214.988,0.375,0.15625,1.77478e+06,11156.7,11193.2,700,700,0.0278645,0.00742471,1.02834,0.984831,-0.0435145,0.926359,0.321945,0.000279835,0.0089086,1.31969,0.0250272,416.535,9758.93
17,0,0.01,0.0003,51.6504,2000,0.271243,0.253379,1.03382,0.290902,44.125,55.8125,158.85,200.925,0.6875,0.4375,1.7578e+06,11115.2,11152,700,700,0.0236149,0.0069563,0.989365,0.946851,-0.0425042,0.895572,0.348888,0.000625235,0.00882581,1.29099,0.00559058,415.421,10399.1
18,0,0.01,0.0003,50.3717,2000,0.23803,0.221247,1.05471,0.256459,37.4062,51,134.662,183.6,0,0,1.73098e+06,11238.6,11275.9,700,700,0.0255,0.00689144,0.946668,0.906895,-0.039785,0.950477,0.348988,0.00143168,0.00899187,1.27304,0.00528684,410.629,11027.7
19,0,0.01,0.0003,52.9477,2000,0.211325,0.195742,1.0083,0.22842,34.0312,47,122.513,169.2,0.125,0.09375,1.7424e+06,11237.9,11275.5,700,700,0.022951,0.00655512,0.909039,0.868033,-0.0410081,0.948708,0.38367,0.00187343,0.00777665,1.23375,0.00510013,423.34,11681.7
20,0,0.01,0.0003,51.125,2000,0.190057,0.174334,0.99785,0.207319,31.0312,42.25,111.713,152.1,0.1875,0.09375,1.73183e+06,11249.8,11287,700,700,0.02045,0.00619269,0.871975,0.831095,-0.0408764,0.945632,0.199211,0.00112282,0.0106091,1.22573,0.00567633,397.414,12296
21,0,0.01,0.0003,53.5593,2000,0.170492,0.155045,0.964437,0.187398,27.2812,38.8438,98.2125,139.838,0.0625,0.0625,1.75978e+06,11216.7,11254.3,700,700,0.0184544,0.00597719,0.828479,0.790097,-0.0383781,0.935327,0.331647,0.00157674,0.00623091,1.17615,0.00545548,406.107,12933.6
22,0,0.01,0.0003,51.1824,2000,0.151082,0.136453,0.924349,0.167162,22.0312,34.5312,79.3125,124.312,0,0,1.74213e+06,11214.4,11250.3,700,700,0.0172656,0.00583992,0.799314,0.761019,-0.038305,0.902821,0.490057,0.00286287,0.00669145,1.15674,0.00591499,401.626,13561.8
23,0,0.01,0.0003,50.208,2000,0.159119,0.144509,0.965622,0.175279,20.1875,35.8438,72.675,129.037,0.5625,0.28125,1.81582e+06,11220.9,11255.9,700,700,0.0144356,0.00555059,0.75418,0.721564,-0.0326253,0.857793,0.433263,0.00181657,0.0071695,1.14687,0.00564953,419.737,14204.8
24,0,0.01,0.0003,48.9865,2000,0.158947,0.144021,0.968809,0.175488,19.0625,35.2812,68.625,127.012,0.4375,0.25,1.77831e+06,11158.7,11192.5,700,700,0.0154716,0.00555908,0.71046,0.684521,-0.0259466,0.917318,0.423013,0.00191319,0.00727365,1.1472,0.00842285,418.334,14840.5
25,0,0.01,0.0003,48.6846,2000,0.140752,0.128247,0.912008,0.154535,18.7812,32.4062,67.6125,116.662,0.25,0.21875,1.80452e+06,11178.7,11213.7,700,700,0.0149071,0.00546265,0.676397,0.652766,-0.0236327,0.929258,0.726931,0.00166657,0.00896712,1.14882,0.00550368,456.902,15522.4
26,0,0.01,0.0003,60.3369,2000,0.0944226,0.0850399,0.676933,0.10462,14.4062,22.875,51.8625,82.35,0.8125,0.46875,1.71399e+06,11198.6,11238,700,700,0.00679053,0.00468527,0.677245,0.643213,-0.0340306,0.856106,0.410611,0.011909,0.0222132,1.16016,0.0223005,438.61,16237.7
27,0,0.01,0.0003,50.8257,2000,0.107256,0.0954097,0.783608,0.120295,13.25,27.75,47.7,99.9,0.1875,0.125,1.80294e+06,11238.6,11273.6,700,700,0.0126542,0.00530868,0.606647,0.590423,-0.0162251,0.891179,0.709518,0.00158106,0.00592992,1.1163,0.00447575,417.606,16888.8
28,0,0.01,0.0003,49.9794,2000,0.105335,0.094126,0.796448,0.11765,13.3125,25.9375,47.925,93.375,0.3125,0.21875,1.79651e+06,11205.8,11240.8,700,700,0.0115467,0.00516547,0.592168,0.577407,-0.01476,0.896825,0.367454,0.00203683,0.010287,1.10281,0.00408023,426.579,17534.8
29,0,0.01,0.0003,49.8016,2000,0.087718,0.0754658,0.720895,0.10124,9.90625,24.375,35.6625,87.75,0.1875,0.125,1.76414e+06,11190.3,11225,700,700,0.0109796,0.00506373,0.571566,0.557361,-0.0142006,0.82342,0.300959,0.0141695,0.0699375,1.16675,0.00394093,411.308,18161.6
30,0,0.01,0.0003,50.7686,2000,0.152931,0.136694,0.938879,0.171226,17.875,34.9062,64.35,125.662,0.875,0.34375,1.87061e+06,11186.8,11221.9,700,700,0.0135666,0.00464532,0.556465,0.540489,-0.0159766,0.757854,0.339908,0.00820693,0.032875,1.10976,0.0357878,418.763,18803.2
31,0,0.01,0.0003,47.3326,2000,0.185838,0.16858,0.977418,0.204994,22.375,39.1875,80.55,141.075,0.5,0.3125,1.77379e+06,11210.8,11243.5,700,700,0.0162189,0.00476223,0.530725,0.520361,-0.0103705,0.778423,0.293661,0.00835771,0.0365443,1.11698,0.0204877,431.958,19443.2
32,0,0.01,0.0003,52.0207,2000,0.215458,0.197521,1.0417,0.235316,30.7188,45.5938,110.588,164.137,0.5625,0.3125,1.77447e+06,11226.5,11262.4,700,700,0.0202333,0.00400932,0.498808,0.485043,-0.0137717,0.825005,0.414324,0.00569473,0.0363699,1.16819,0.00859535,369.937,20041.6
33,0,0.01,0.0003,46.5989,2000,0.204539,0.187472,1.06065,0.223336,33.6875,44.4688,121.275,160.088,0.375,0.1875,1.68664e+06,11178.1,11215.2,700,700,0.0169404,0.00340542,0.490594,0.471801,-0.0187889,0.814964,0.157405,0.0109981,0.0252801,1.13341,0.00722679,355.122,20595
