step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
18,1.2207e-05,0.01,0.001,12.3067,2000,3.60993,3.33092,3.46846,3.93947,431.5,418.125,1553.4,1505.25,9.8125,5.6875,1.79286e+06,169.805,193.709,700,700,0.16,0.0097503,0.769558,0.657857,-0.111692,0.039606,0.0331891,0.111065,0.0032228,0.943372,1.90349,2.68206,4184.84
19,6.10352e-06,0.01,0.001,12.3888,2000,3.78237,3.49017,3.51835,4.12889,445.625,430.062,1604.25,1548.22,12.125,7.625,1.78107e+06,162.051,185.586,700,700,0.154406,0.00921583,0.688319,0.620336,-0.06797,0.0413228,0.0349551,0.069207,0.00271213,0.956531,2.02943,2.74202,4386.9
20,3.05176e-06,0.01,0.001,12.5265,2000,3.70942,3.4271,3.44847,4.04258,447.875,432.25,1612.35,1556.1,10.6875,6.4375,1.74081e+06,161.27,185.353,700,700,0.162687,0.00917087,0.627292,0.625968,-0.00132331,0.0476379,0.0329645,-0.000922388,0.00239166,0.958892,1.83504,2.69411,4591.09
21,1.52588e-06,0.01,0.001,12.7955,2000,3.70733,3.41229,3.47209,4.05821,437.5,424.375,1575,1527.75,8.375,5.1875,1.72723e+06,165.711,189.321,700,700,0.170313,0.0102217,0.636058,0.67144,0.0353653,0.0681958,0.0348892,-0.0373614,0.00207021,0.958518,1.47263,2.92846,4799.86
22,7.62939e-07,0.01,0.001,13.0797,2000,3.75905,3.45069,3.43609,4.12781,432.375,422.875,1556.55,1522.35,8.125,5.1875,1.87078e+06,170.252,193.401,700,700,0.170813,0.0103667,0.676807,0.681181,0.00438538,0.0724121,0.0381621,-0.00551311,0.00156209,0.95235,1.36045,3.00711,5013.29
23,3.8147e-07,0.01,0.001,11.7584,2000,3.89038,3.57385,3.50266,4.26957,444,433.438,1598.4,1560.37,8.8125,6.0625,1.88214e+06,163.97,186.912,700,700,0.172656,0.0107951,0.686112,0.688105,0.00199945,0.0554254,0.0312879,-0.00215931,0.00373137,0.923591,1.35842,2.80817,5205.22
24,1.90735e-07,0.01,0.001,12.2984,2000,3.91626,3.60283,3.47506,4.29012,455.438,439.125,1639.58,1580.85,11,6.5625,1.67587e+06,158.81,182.019,700,700,0.164563,0.00865786,0.68167,0.589981,-0.0917026,0.0498145,0.0347915,0.0901299,0.00210592,0.914937,1.95034,2.86211,5405.97
25,9.53674e-08,0.01,0.001,12.3064,2000,3.92399,3.62203,3.53588,4.2813,462.5,449.312,1665,1617.53,10.3125,6.25,1.85748e+06,155.197,178.861,700,700,0.173094,0.00914224,0.595222,0.620907,0.0256881,0.0476143,0.0335964,-0.0266943,0.00179886,0.911953,1.71261,2.79742,5606.74
26,4.76837e-08,0.01,0.001,12.1244,2000,4.16994,3.84708,3.62233,4.55313,477.188,462.25,1717.88,1664.1,12.375,7.5625,1.83864e+06,148.138,171.112,700,700,0.16925,0.00911901,0.646982,0.596434,-0.0505201,0.0385472,0.0332318,0.0514579,0.00209489,0.907177,2.11268,2.735,5804.53
27,2.38419e-08,0.01,0.001,12.7651,2000,3.87718,3.57607,3.5352,4.23264,464.438,450.25,1671.97,1620.9,10.375,5.5625,1.84082e+06,154.675,178.703,700,700,0.17325,0.00780014,0.569232,0.543811,-0.0254092,0.0476311,0.033833,0.0270686,0.00203343,0.916845,1.87435,2.9706,6012.83
28,1.19209e-08,0.01,0.001,12.0604,2000,4.14127,3.80131,3.61629,4.54981,459.812,446.25,1655.32,1606.5,10.5,6.8125,1.78308e+06,156.821,179.116,700,700,0.170625,0.0093744,0.573382,0.601,0.0276033,0.0532415,0.0320641,-0.0296442,0.00173708,0.904658,1.66696,2.84456,6209.65
29,5.96046e-09,0.01,0.001,11.8714,2000,3.95748,3.65597,3.62248,4.31412,467.625,449.25,1683.45,1617.3,13.9375,8.5625,1.70162e+06,152.715,176.27,700,700,0.154937,0.00569658,0.587322,0.451539,-0.135776,0.0522161,0.0330162,0.135686,0.00276557,0.911221,2.13632,3.38203,6404.01
30,2.98023e-09,0.01,0.001,11.9462,2000,4.13374,3.8001,3.58736,4.53258,467,453.438,1681.2,1632.38,11.5,7.5,1.87071e+06,153.011,175.706,700,700,0.169219,0.00832163,0.475657,0.550916,0.0752751,0.0541755,0.0339116,-0.0753321,0.00200569,0.911584,1.72801,3.40793,6599.63
