step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
20,0,0.001,13.9718,2000,1.56312,1.47703,2.07394,1.65918,342.312,304.062,1232.33,1094.62,14.625,6.75,1.52235e+06,206.246,248.121,700,700,0.115469,230.938,0.0112649,22.5298,22.0476,44095.1,180.625,-1.01828,-2.87606e-10,1.04958,0.572371,5211.8
21,0,0.001,13.8999,2000,1.51381,1.42877,2.10668,1.60826,329.625,291.25,1186.65,1048.5,14.0625,5.75,1.50128e+06,205.056,247.098,700,700,0.110469,220.938,0.00958428,19.1686,22.0548,44109.6,174.812,-0.789861,2.00424e-09,1.04307,0.418768,5435.58
22,0,0.001,13.1995,2000,1.7926,1.70116,2.36395,1.89358,381.688,343.625,1374.07,1237.05,13.375,5.8125,1.46659e+06,185.081,225.689,700,700,0.138375,276.75,0.014091,28.182,21.2949,42589.8,200.312,-1.29334,-7.59413e-10,1.03273,0.396743,5657.67
23,0,0.001,13.782,2000,1.89705,1.80338,2.45102,2.00014,399.125,364.875,1436.85,1313.55,13.375,5.9375,1.55713e+06,178.237,218.656,700,700,0.149,298,0.0151489,30.2979,21.168,42335.9,209.375,-1.43067,-4.22389e-11,1.02533,0.554175,5879.69
24,0,0.001,13.7464,2000,1.82211,1.73461,2.42936,1.91811,387.375,348.375,1394.55,1254.15,14.3125,6.1875,1.43974e+06,180.013,221.022,700,700,0.138406,276.812,0.0123673,24.7347,21.3827,42765.3,203.875,-1.09625,-7.25685e-10,1.01995,0.53746,6101.11
25,0,0.001,14.4247,2000,2.05201,1.95541,2.61334,2.15781,424.688,392,1528.88,1411.2,12.75,5.5,1.55831e+06,167.935,207.967,700,700,0.164125,328.25,0.0161822,32.3643,20.9166,41833.1,222.562,-1.51613,-1.87874e-10,1.0084,0.39588,6323.19
26,0,0.001,13.183,2000,2.00667,1.91631,2.61626,2.10538,420.438,382.438,1513.58,1376.78,16.125,7.5,1.50585e+06,166.028,206.537,700,700,0.150906,301.812,0.0130567,26.1134,21.1074,42214.8,219.938,-1.17578,5.53873e-10,1.00283,-0.0381267,6544.56
27,0,0.001,12.9427,2000,2.13249,2.03752,2.72119,2.23594,444.688,406.812,1600.88,1464.53,15.375,6.8125,1.49616e+06,157.509,197.669,700,700,0.164969,329.938,0.0148359,29.6719,20.9297,41859.4,232.062,-1.40697,1.66921e-10,0.994397,0.411158,6762.51
28,0,0.001,13.8474,2000,2.14945,2.05816,2.76506,2.24867,447.812,408,1612.12,1468.8,17.1875,8.125,1.4921e+06,153.842,193.877,700,700,0.161031,322.062,0.0134906,26.9812,20.8367,41673.5,233.625,-1.26576,-6.05407e-10,0.987624,0.453279,6985.48
29,0,0.001,13.7179,2000,2.11834,2.03113,2.75537,2.21289,442.938,404.25,1594.58,1455.3,15.375,7.375,1.50471e+06,153.216,193.742,700,700,0.163687,327.375,0.0133713,26.7426,21.0538,42107.7,230.75,-1.20602,1.51087e-10,0.97846,0.0221307,7205.95
30,0,0.001,13.8544,2000,2.25366,2.16321,2.87697,2.35148,467.188,431.375,1681.88,1552.95,13.75,6.5625,1.5004e+06,144.631,184.761,700,700,0.181312,362.625,0.0157069,31.4138,20.8441,41688.2,243.438,-1.45103,-1.9024e-10,0.968989,0.575823,7429.13
31,0,0.001,13.8873,2000,2.20229,2.11656,2.86686,2.29486,461.75,420.562,1662.3,1514.03,18.25,8.75,1.47901e+06,143.713,184.152,700,700,0.164656,329.312,0.0123573,24.7146,20.9944,41988.8,240.812,-1.12002,7.92282e-11,0.963668,0.417927,7652.7
32,0,0.001,13.6776,2000,2.28588,2.20348,2.93207,2.3745,480.75,443.438,1730.7,1596.38,16.6875,8.6875,1.54726e+06,137.332,178.04,700,700,0.18,360,0.0144186,28.8372,21.0886,42177.2,250.438,-1.35217,-7.14247e-11,0.952657,0.38427,7872.36
33,0,0.001,13.8543,2000,2.412,2.32017,3.00653,2.51074,501.062,461.75,1803.82,1662.3,18.25,8.4375,1.52743e+06,127.551,167.773,700,700,0.18525,370.5,0.0147283,29.4565,20.8313,41662.6,260.5,-1.36532,-1.02539e-10,0.937371,0.36687,8095.32
34,0,0.001,13.8118,2000,2.16527,2.0922,2.84689,2.24338,467.688,424.438,1683.67,1527.97,20,10.125,1.50092e+06,140.131,182.17,700,700,0.162219,324.438,0.0104864,20.9727,21.6884,43376.9,244.312,-0.896731,1.91885e-10,0.931575,0.564171,8317.83
35,0,0.001,13.9567,2000,2.23893,2.16675,2.88802,2.31575,484.125,442,1742.85,1591.2,19,9.0625,1.51819e+06,136.085,178.4,700,700,0.1735,347,0.0119115,23.823,21.8157,43631.3,252,-1.07793,-6.42885e-10,0.914437,0.391415,8542.5
36,0,0.001,14.0103,2000,2.39555,2.32293,3.04133,2.47243,521.5,477.75,1877.4,1719.9,20.5,9.6875,1.51194e+06,116.403,158.384,700,700,0.187625,375.25,0.0137649,27.5298,21.5778,43155.6,270.562,-1.27296,-5.08535e-10,0.895957,0.415348,8768.03
37,0,0.001,13.8039,2000,2.48668,2.41618,3.09398,2.56107,539.75,495.375,1943.1,1783.35,22.0625,10.875,1.51977e+06,107.48,149.441,700,700,0.192531,385.062,0.0140998,28.1997,21.5401,43080.2,279.5,-1.33096,-3.72965e-10,0.874679,0.425893,8990.27
38,0,0.001,13.4297,2000,2.41933,2.35863,3.07789,2.48306,538.812,489.375,1939.72,1761.75,24.75,12,1.46777e+06,105.144,147.917,700,700,0.182812,365.625,0.0121675,24.335,21.8984,43796.8,279.562,-1.1364,4.91164e-10,0.855055,0.41425,9216.04
39,0,0.001,13.9088,2000,2.57734,2.50944,3.16322,2.64865,561.125,510.312,2020.05,1837.12,26.1875,12.375,1.47983e+06,95.999,137.913,700,700,0.189688,379.375,0.0128672,25.7343,21.4676,42935.2,289.688,-1.18699,-3.35148e-10,0.836349,10.0315,9449.58
40,0,0.001,13.7975,2000,2.40163,2.34456,3.08132,2.46145,538.5,486.125,1938.6,1750.05,25.5625,12.625,1.43445e+06,103.093,146.335,700,700,0.179156,358.312,0.0108577,21.7155,22.0949,44189.9,278.75,-0.984034,-2.87736e-10,0.81663,0.400537,9663.44
41,0,0.001,14.1634,2000,2.4262,2.37009,3.10035,2.48474,547.688,499.625,1971.67,1798.65,21.125,9.8125,1.42813e+06,99.0633,142.684,700,700,0.197,394,0.0133088,26.6175,22.2523,44504.7,283.375,-1.20358,1.05555e-10,0.798006,0.494511,9891.56
42,0,0.001,14.0394,2000,2.38235,2.33344,3.06872,2.43327,539.812,492.5,1943.33,1773,21.75,10.875,1.45388e+06,104.361,148.377,700,700,0.191875,383.75,0.012121,24.242,22.4166,44833.2,279.938,-1.10337,5.82926e-10,0.789955,0.576555,10117.8
43,0,0.001,13.937,2000,2.54136,2.48936,3.1734,2.59532,573.75,521.75,2065.5,1878.3,27.8125,13.125,1.50764e+06,89.995,133.476,700,700,0.191344,382.688,0.0117242,23.4483,22.1341,44268.1,296.562,-1.09757,6.29785e-10,0.772948,0.0303731,10341.8
44,0,0.001,14.1329,2000,2.54126,2.49166,3.18435,2.5928,572.875,523.125,2062.35,1883.25,24.625,12.3125,1.46533e+06,88.6526,132.126,700,700,0.2,400,0.012734,25.468,22.1473,44294.7,296,-1.20924,-1.51968e-09,0.762902,0.423341,10569.3
