step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.01,0.001,17.2995,2000,0.340587,0.320967,0.634662,0.362318,108.417,91.0833,390.3,327.9,8.41667,3.66667,1.62796e+06,11181.6,11240.1,700,700,0.00345833,8.25107e-05,-0.00110743,0.0283373,0.0294448,-1.00931e-05,-0.0590625,-0.0291243,0.00133547,1.09727,21.3719,5.27132,417.554
1,0.1,0.01,0.001,16.895,2000,0.468406,0.437823,0.777052,0.502319,141.792,120.25,510.45,432.9,12.25,4.41667,1.57607e+06,11147.9,11205,700,700,-0.001125,-0.0014594,0.0230777,-0.137305,-0.16038,0.0566482,0.0521863,0.158835,0.00308171,1.09401,27.2057,2.48267,828.453
2,0.1,0.01,0.001,16.3194,2000,0.662722,0.621846,1.02963,0.708375,180.917,163.75,651.3,589.5,11.9167,4.66667,1.55752e+06,11120.4,11173.7,700,700,0.0222917,0.00160716,-0.169457,0.137091,0.306518,-0.0283436,0.052336,-0.308128,0.000983714,1.0882,22.0812,5.39059,1228.46
3,0.1,0.01,0.001,15.5338,2000,0.94408,0.885953,1.34065,1.00913,233.208,218.75,839.55,787.5,15.0833,6.125,1.58579e+06,11112.5,11161.9,700,700,0.0339583,0.00197586,0.202099,0.220872,0.0187606,0.0362887,0.0529254,-0.0219985,0.00253228,1.08382,25.5562,5.30218,1609.76
4,0.1,0.01,0.001,16.0023,2000,1.23083,1.15967,1.80307,1.31038,263.708,260.125,949.35,936.45,8.5,3.375,1.56975e+06,11079.2,11122.8,700,700,0.0875625,0.00752785,0.181884,0.72884,0.546947,0.0851386,0.0587783,-0.547461,0.00108359,1.07681,14.781,5.56864,2002.79
5,0.1,0.01,0.001,16.6006,2000,1.39814,1.32289,2.07485,1.48181,285.083,284.333,1026.3,1023.6,8.25,3.79167,1.58823e+06,11039.6,11081.8,700,700,0.100917,0.00835931,0.752855,0.832006,0.0791391,0.0791879,0.0486272,-0.0727202,0.0027533,1.04963,12.3547,4.76135,2409.33
6,0.1,0.01,0.001,15.3933,2000,1.8219,1.72253,2.44876,1.93334,330.208,332.292,1188.75,1196.25,8.91667,4.95833,1.63426e+06,11096.2,11134.1,700,700,0.121563,0.0114935,0.950578,1.09803,0.147434,0.108768,0.047132,-0.136884,0.00257788,1.02575,11.2445,5.12299,2787.21
7,0.1,0.01,0.001,14.4649,2000,2.39044,2.25923,2.93092,2.53768,383.417,387.625,1380.3,1395.45,12.6667,7.16667,1.68876e+06,11035.7,11068.9,700,700,0.130479,0.012841,1.16893,1.20274,0.0338406,0.0922234,0.0531512,-0.0344974,0.00194138,0.995926,15.1882,5.01796,3142.95
8,0.1,0.01,0.001,14.2153,2000,2.56308,2.41737,3.0993,2.72724,384.375,391.5,1383.75,1409.4,10.3333,5.75,1.74248e+06,11038.1,11069.7,700,700,0.144083,0.0133195,1.18681,1.20175,0.0149447,0.121374,0.0435748,-0.00122443,0.00225704,0.971569,11.2897,1.81106,3489.61
9,0.1,0.01,0.001,13.781,2000,2.81094,2.65991,3.22234,2.98029,425.125,431.708,1530.45,1554.15,12.4583,7.25,1.70954e+06,11033.1,11064.5,700,700,0.153562,0.0132115,1.18717,1.19975,0.0125707,0.10041,0.0467044,-0.0128784,0.00201031,0.960232,11.6133,4.52291,3828.45
10,0.1,0.01,0.001,13.9847,2000,3.00022,2.84242,3.30113,3.17655,442.5,444.75,1593,1601.1,15.4167,8.41667,1.74809e+06,11022.3,11053.3,700,700,0.145292,0.0112439,1.19741,1.01355,-0.183879,0.0768664,0.0431083,0.201981,0.00172239,0.939228,14.4272,2.64677,4170.49
11,0.1,0.01,0.001,13.9591,2000,3.22011,3.04703,3.46963,3.41358,461,463.042,1659.6,1666.95,17.5417,9.08333,1.75676e+06,10986.1,11015.7,700,700,0.143813,0.00991565,1.04992,0.929132,-0.120694,0.0614915,0.0402525,0.120592,0.00167917,0.923823,16.6482,0.793612,4510.37
12,0.1,0.01,0.001,13.3126,2000,3.53434,3.34083,3.63758,3.75152,481.5,487.125,1733.4,1753.65,16.1667,8.83333,1.7979e+06,10970.1,10998.4,700,700,0.162729,0.012444,1.01111,1.08588,0.0747729,0.0711501,0.0506831,-0.0745496,0.00268399,0.890129,13.3997,1.59536,4835.85
13,0.1,0.01,0.001,13.5049,2000,3.3666,3.2063,3.58636,3.54407,494,493.208,1778.4,1775.55,20.4167,11.375,1.76321e+06,10969.3,10999.6,700,700,0.144521,0.00881032,1.00957,0.880407,-0.129132,0.0659308,0.0555052,0.126044,0.00214187,0.888307,14.5513,4.40371,5168.7
14,0.1,0.01,0.001,14.1887,2000,3.02704,2.90186,3.46884,3.16338,498,495.792,1792.8,1784.85,16.9583,8.91667,1.65056e+06,10979.8,11013.6,700,700,0.163104,0.0076124,0.8217,0.800042,-0.0216816,0.0796315,0.0495957,0.0196812,0.00169038,0.897649,11.8697,4.58947,5518.29
15,0.1,0.01,0.001,14.2975,2000,2.95158,2.82991,3.43167,3.08385,493.708,490.542,1777.35,1765.95,18.625,9.375,1.7226e+06,10973.5,11008,700,700,0.152146,0.0056099,0.780455,0.689223,-0.0912068,0.0716372,0.050369,0.0946696,0.00174014,0.893544,12.7193,4.93284,5868.62
16,0.1,0.01,0.001,13.6945,2000,3.36903,3.21495,3.60418,3.5383,512.125,512.333,1843.65,1844.4,18.2917,9.41667,1.72808e+06,10963.2,10994.5,700,700,0.164708,0.0077833,0.794207,0.809153,0.0149662,0.080123,0.0543834,-0.0174631,0.00234834,0.87309,12.8063,4.96574,6207.28
17,0.1,0.01,0.001,13.2522,2000,3.51087,3.33761,3.63435,3.70328,494.5,496.292,1780.2,1786.65,17.2917,9.79167,1.77984e+06,10969.2,10998.9,700,700,0.161687,0.00908492,0.83771,0.867075,0.0293785,0.0789703,0.0519849,-0.0107252,0.0017963,0.863164,10.7482,4.51485,6535.01
18,0.1,0.01,0.001,13.0216,2000,3.58446,3.41226,3.7053,3.77528,512.417,510.208,1844.7,1836.75,21.125,11.6667,1.72692e+06,10968.7,10998.1,700,700,0.149479,0.00725155,0.858804,0.775534,-0.0832842,0.0664427,0.0368604,0.0828564,0.00157877,0.863941,13.121,4.9653,6857.36
19,0.1,0.01,0.001,12.8948,2000,3.50595,3.33945,3.65635,3.6901,511.333,512.792,1840.8,1846.05,18.375,9.95833,1.78951e+06,10978.2,11008.3,700,700,0.164521,0.0075814,0.79307,0.790935,-0.00216925,0.0760358,0.0380778,0.00137469,0.00187204,0.864914,11.465,4.88974,7176.91
20,0.1,0.01,0.001,13.1686,2000,3.42168,3.26249,3.6125,3.59765,505.958,505.542,1821.45,1819.95,19.5,10.9583,1.72421e+06,10961.3,10991.9,700,700,0.155271,0.00663844,0.768002,0.740132,-0.0278435,0.0824463,0.0480447,0.0312523,0.00273368,0.852795,11.3376,4.73143,7503.22
21,0.1,0.01,0.001,14.092,2000,3.18755,3.05365,3.53635,3.33398,504.625,499.375,1816.65,1797.75,20.7083,11.2083,1.67137e+06,10988.1,11020.8,700,700,0.146146,0.00436975,0.696166,0.574685,-0.121506,0.0804103,0.0543994,0.129612,0.00134885,0.874556,11.8357,5.00701,7852.44
22,0.05,0.01,0.001,14.0507,2000,3.21793,3.075,3.46674,3.37469,501.25,498.333,1804.5,1794,18.375,9.58333,1.66078e+06,10965.3,10998,700,700,0.157292,0.00479435,0.601022,0.621756,0.0207172,0.0828428,0.056103,-0.0119232,0.00170401,0.887782,10.5388,4.97875,8200.83
23,0.05,0.01,0.001,13.9326,2000,3.3892,3.23286,3.574,3.56166,513.417,511.583,1848.3,1841.7,20.2917,11.2917,1.71991e+06,10976.5,11007.6,700,700,0.154333,0.00543274,0.660698,0.683198,0.0225119,0.0753278,0.0542558,-0.0229085,0.00155667,0.876704,11.183,4.62289,8546.08
24,0.025,0.01,0.001,14.0409,2000,3.37818,3.22307,3.54281,3.54912,519.792,517.083,1871.25,1861.5,18.5,9.95833,1.66182e+06,10963.1,10994.8,700,700,0.166042,0.00565883,0.68519,0.685764,0.000549908,0.0819637,0.0547898,0.00316939,0.00305257,0.869412,10.3091,2.1739,8891.41
25,0.025,0.01,0.001,14.4033,2000,3.10958,2.96767,3.39445,3.26591,486.375,481.167,1750.95,1732.2,21.4167,11.7917,1.66762e+06,10993.7,11026.4,700,700,0.1335,0.00270475,0.625201,0.47703,-0.148183,0.0869156,0.0482022,0.163086,0.00388359,0.866835,11.1807,3.18319,9246.66
26,0.025,0.01,0.001,14.7759,2000,3.11546,2.99407,3.44789,3.24768,523,516.542,1882.8,1859.55,21.5417,12.625,1.66472e+06,10940,10974.5,700,700,0.150563,0.00389996,0.520854,0.579271,0.058396,0.0863828,0.0470689,-0.0562756,0.00191611,0.874064,9.85243,5.5233,9614.19
27,0.025,0.01,0.001,14.6273,2000,3.28057,3.14481,3.50472,3.42876,531.375,529.667,1912.95,1906.8,17.875,10.0417,1.73923e+06,10951.8,10985.1,700,700,0.175458,0.00560851,0.599849,0.688565,0.0887377,0.0900538,0.0474579,-0.0891919,0.00221545,0.850719,9.27194,5.75319,9978.51
28,0.025,0.01,0.001,14.9294,2000,3.08668,2.97188,3.43461,3.21093,532.708,524.333,1917.75,1887.6,23.4583,12.9167,1.67605e+06,10931.8,10967,700,700,0.144875,0.00228463,0.632294,0.495853,-0.136431,0.0760015,0.0470348,0.134848,0.00255804,0.854664,11.5174,3.32412,10348
29,0.025,0.01,0.001,14.8441,2000,3.1576,3.03073,3.4298,3.29568,524.625,516.5,1888.65,1859.4,21.8333,11.6667,1.62361e+06,11005.4,11039.7,700,700,0.149083,0.00259464,0.542937,0.493675,-0.0492884,0.0825999,0.0435506,0.0578314,0.00151703,0.852905,11.1232,5.54272,10717.8
30,0.0125,0.01,0.001,14.9574,2000,3.03273,2.92081,3.41601,3.15389,530.167,523.833,1908.6,1885.8,20.4167,11.625,1.64919e+06,10953.1,10988.8,700,700,0.159833,0.00331133,0.488483,0.56124,0.0727319,0.0939337,0.0466414,-0.0742112,0.00235396,0.854904,9.40717,5.85552,11091.7
31,0.0125,0.01,0.001,15.1282,2000,2.92179,2.82076,3.34712,3.03073,532.167,523.875,1915.8,1885.95,19.5833,11.2917,1.62662e+06,10943.9,10981,700,700,0.164021,0.00311107,0.524424,0.549396,0.0249612,0.105195,-0.0572319,-0.0262189,0.0018755,0.858843,8.7669,5.97759,11466.8
32,0.0125,0.01,0.001,15.2985,2000,2.94882,2.84861,3.38428,3.05673,537.583,527.5,1935.3,1899,21.7083,12.3333,1.6245e+06,10963,11000.1,700,700,0.155208,0.00237552,0.546023,0.498304,-0.0476934,0.0831154,0.0452139,0.0474937,0.00197334,0.863831,10.0129,5.75258,11848.4
