step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0,0.01,0.0003,69.8406,2000,0.629326,0.589901,0.993219,0.673105,185.156,162.344,666.562,584.438,14.5,5.46875,1.57531e+06,11116.1,11172.7,700,700,-0.412773,-0.0118092,0.00382261,-0.186321,-0.190144,7.74991e-05,0.373344,-0.0029649,0.0103011,1.59894,0.821165,334.296,638.338
1,0,0.01,0.0003,57.9207,2000,0.795849,0.745546,1.29627,0.852428,184.375,174.844,663.75,629.438,10.125,3.78125,1.56825e+06,11181.5,11228.5,700,700,-0.0938151,0.0131152,0.00994606,0.236666,0.226718,0.104891,0.19252,-0.00097988,0.00803738,1.58267,0.202825,335.986,1228.61
2,0,0.01,0.0003,48.7591,2000,0.958473,0.900035,1.52334,1.02381,189.781,189.5,683.212,682.2,8.3125,3.03125,1.70457e+06,11077.7,11119.6,700,700,-0.0334242,0.0117319,0.634895,0.71894,0.0840462,0.0579732,0.353237,-0.000380208,0.00774963,1.58471,1.85357,313.001,1761.11
3,0,0.01,0.0003,44.2214,2000,1.22663,1.14607,1.81636,1.3178,227.719,231.906,819.788,834.862,7.4375,2.625,1.66768e+06,11161,11199.6,700,700,0.0415515,0.0145108,1.06331,1.10817,0.0448524,0.0907981,0.320842,-0.000313939,0.00688856,1.58452,1.26311,323.913,2278.37
4,0,0.01,0.0003,44.4114,2000,0.922029,0.859519,1.4929,0.993726,167.531,172.969,603.112,622.688,5.4375,2.5,1.70712e+06,11115.2,11154.4,700,700,0.0335009,0.0115993,1.35639,1.30597,-0.050429,0.203085,0.166023,-0.00160609,0.0077,1.56516,0.220285,326.675,2806.41
5,0,0.01,0.0003,43.9068,2000,0.816199,0.758533,1.35973,0.882185,149.062,156.031,536.625,561.712,5,2,1.76996e+06,11159.7,11198.5,700,700,0.035027,-0.000753064,1.57241,1.28403,-0.288376,0.288446,0.181962,-0.00137403,0.00755933,1.54602,0.0559977,412.562,
6,0,0.01,0.0003,44.5309,2000,0.894727,0.834133,1.40516,0.964181,163.594,169.562,588.938,610.425,4.875,2.28125,1.63579e+06,11147.7,11186.6,700,700,0.0434044,0.000854062,1.31232,1.09927,-0.213054,0.269677,0.17271,-0.00162331,0.00798609,1.55396,0.18806,409.725,
7,0,0.01,0.0003,50.3292,2000,0.696258,0.648533,1.1645,0.750522,145.094,143.5,522.337,516.6,5.6875,2.125,1.62492e+06,11140.3,11184.2,700,700,0.023145,-0.00114102,1.11422,0.911182,-0.203046,0.313527,0.200491,-0.000450935,0.00841439,1.5417,0.145299,409.255,
8,0,0.01,0.0003,49.3594,2000,0.646714,0.603779,1.17974,0.695025,132.344,132.375,476.438,476.55,5.0625,2,1.65081e+06,11113.9,11156.7,700,700,0.0169223,-0.00125837,0.963571,0.788959,-0.174628,0.285281,0.186471,-0.000436938,0.00918622,1.5184,0.0792761,417.271,
9,0,0.01,0.0003,43.3578,2000,0.694521,0.650457,1.41455,0.743945,120.406,128.938,433.462,464.175,3.3125,1.625,1.66401e+06,11183.7,11220.9,700,700,0.0431044,0.00137012,0.832944,0.730124,-0.102823,0.507998,0.164282,0.0007341,0.0108841,1.50378,0.0778216,446.111,
10,0,0.01,0.0003,39.5568,2000,0.680121,0.63791,1.62841,0.727147,105,120.219,378,432.788,1.625,0.78125,1.77267e+06,11136.2,11170.1,700,700,0.0486655,0.00171636,0.757348,0.672237,-0.0851008,0.689157,0.152357,-0.000384499,0.0112157,1.46813,0.118296,441.146,
