step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
20,0,0.001,11.1979,2000,2.56037,2.43141,3.02493,2.70311,451,421.75,1623.6,1518.3,13.875,6.9375,1.57034e+06,154.883,189.271,700,700,0.176187,352.375,0.00458082,9.16164,18.0595,36119,235.25,-0.404053,6.14628e-11,0.986515,0.416619,4250.28
21,0,0.001,11.5854,2000,2.66011,2.52581,3.10848,2.80915,454.875,427.625,1637.55,1539.45,13.375,7,1.66442e+06,149.85,183.861,700,700,0.180375,360.75,0.00505426,10.1085,17.8637,35727.4,237.562,-0.410846,4.31927e-11,0.969377,0.469809,4437
22,0,0.001,11.0437,2000,2.72813,2.57808,3.09478,2.896,441.375,410.812,1588.95,1478.92,15,7.25,1.56548e+06,158.116,190.786,700,700,0.167906,335.812,0.0028628,5.7256,17.1367,34273.4,230.312,-0.172334,-1.40638e-09,0.975402,0.431017,4614.87
23,0,0.001,11.4718,2000,2.85477,2.74602,3.25712,2.97239,514.125,475,1850.85,1710,21.9375,11.25,1.59816e+06,119.849,155.157,700,700,0.182656,365.312,0.00503774,10.0755,18.3136,36627.1,266.188,-0.392187,7.77157e-10,0.922521,0.362368,4799.57
24,0,0.001,11.8636,2000,2.73124,2.62323,3.14298,2.84749,500.5,460.5,1801.8,1657.8,21.625,9.5,1.47753e+06,128.724,164.946,700,700,0.176187,352.375,0.00379851,7.59702,18.7492,37498.3,260.562,-0.27479,8.0607e-10,0.930877,0.463001,4990.66
25,0,0.001,11.4019,2000,3.04191,2.92222,3.32852,3.17133,537,498.25,1933.2,1793.7,21.5625,10.3125,1.49849e+06,112.881,147.39,700,700,0.195219,390.438,0.00659909,13.1982,17.9155,35831,278.625,-0.59252,8.29038e-11,0.915613,0.448306,5174.32
26,0,0.001,11.0816,2000,2.99136,2.8564,3.28709,3.13947,503.125,469.5,1811.25,1690.2,18.625,9.875,1.59292e+06,128.857,161.818,700,700,0.188188,376.375,0.00528138,10.5628,17.2365,34473.1,260.875,-0.46063,-2.84664e-10,0.940303,0.431156,5352.78
27,0,0.001,11.1382,2000,2.78882,2.63909,3.18728,2.95631,454.25,431,1635.3,1551.6,11.625,6.8125,1.63119e+06,154.251,186.322,700,700,0.186437,372.875,0.00483503,9.67006,16.927,33854.1,237.062,-0.452012,-1.00225e-10,0.973092,0.377779,5532.09
28,0,0.001,10.9972,2000,2.77249,2.62313,3.1749,2.93953,447.812,422.125,1612.12,1519.65,12.375,6.375,1.54299e+06,158.248,190.046,700,700,0.180125,360.25,0.00369845,7.3969,16.7667,33533.4,234.062,-0.354773,8.25925e-11,0.972847,0.371116,5709.14
29,0,0.001,11.5452,2000,2.64574,2.52419,3.12213,2.77952,471.938,439.062,1698.97,1580.62,15.3125,8.125,1.51341e+06,144.724,179.507,700,700,0.18125,362.5,0.00376204,7.52409,18.2087,36417.4,246.25,-0.366806,1.72412e-10,0.961122,0.453617,5895.09
