step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0.2,0.003,0.001,16.4491,2000,0.539097,0.507989,1.18694,0.573004,144.025,132.75,518.49,477.9,8.1,2.2,1.62666e+06,11195.8,11248.1,700,700,-1.95863,-0.00726611,-0.0711748,-0.197284,-0.126109,0.230407,0.0403784,0.125167,0.00117388,1.5742,4.57221,53.6198,
1,0.1,0.003,0.001,16.534,2000,0.394715,0.373691,1.07288,0.41758,108.625,98.05,391.05,352.98,5.2,1.75,1.64877e+06,11138.6,11191.5,700,700,-1.25097,-0.0041719,-0.193816,-0.237354,-0.0435316,0.420747,0.0436943,0.0429138,0.000987561,1.56614,1.27829,53.5818,
2,0.05,0.003,0.001,15.8073,2000,0.412722,0.390449,1.24258,0.436915,104.7,98.85,376.92,355.86,4.1,1.075,1.61935e+06,11148.3,11198.1,700,700,-0.975575,-0.00399058,-0.205979,-0.242642,-0.0366709,0.43731,0.0416493,0.0340551,0.0010747,1.54839,1.24232,45.9729,
3,0.025,0.003,0.001,15.5652,2000,0.404149,0.380236,1.30484,0.430103,101.45,94.1,365.22,338.76,3.25,0.725,1.59522e+06,11201.8,11250,700,700,-0.76545,-0.00343967,-0.213783,-0.239334,-0.025582,0.467612,0.0392155,0.0243092,0.0013264,1.53752,1.15024,40.4719,
4,0.0125,0.003,0.001,15.2143,2000,0.385531,0.362724,1.34343,0.410346,92.125,90.425,331.65,325.53,2.95,0.825,1.67508e+06,11210.3,11257.3,700,700,-0.692287,-0.00318659,-0.220688,-0.237808,-0.0171269,0.44314,0.0409359,0.015616,0.00163424,1.5218,1.07703,29.3842,
5,0.00625,0.003,0.001,15.6114,2000,0.303031,0.283619,1.17542,0.324431,76.875,72.025,276.75,259.29,2,0.5,1.64475e+06,11124.2,11172.9,700,700,-0.463987,-0.00217228,-0.282588,-0.273115,0.00946699,0.504933,0.0371782,-0.0113532,0.00134072,1.51404,0.774689,38.7945,
6,0.003125,0.003,0.001,15.2177,2000,0.282971,0.266544,1.1913,0.300817,67.55,66.5,243.18,239.4,1.4,0.35,1.62027e+06,11130.6,11177.9,700,700,-0.31675,-0.00159274,-0.234219,-0.223604,0.0105962,0.569638,0.0227033,-0.0113408,0.000757314,1.50981,0.601292,39.3628,
7,0.0015625,0.003,0.001,15.4371,2000,0.279769,0.263874,1.1894,0.297147,64.75,64.1,233.1,230.76,1.25,0.675,1.55742e+06,11233.3,11278.9,700,700,-0.28045,-0.00104541,-0.199524,-0.181103,0.0183835,0.657249,0.0380733,-0.0186249,0.00116564,1.50514,0.330118,30.0596,
8,0.00078125,0.003,0.001,15.0707,2000,0.233353,0.218554,1.11754,0.249509,55.8,56.475,200.88,203.31,0.15,0.025,1.62093e+06,11200.7,11246.5,700,700,-0.0092625,-0.000144867,-0.170808,-0.145525,0.0252685,0.815846,0.0365567,-0.0254345,0.000665695,1.50452,0.101477,30.6783,
9,0.000390625,0.003,0.001,15.3309,2000,0.211657,0.197726,1.07073,0.226837,52.15,52.3,187.74,188.28,0.4,0.075,1.67531e+06,11175.2,11222.4,700,700,-0.07385,-0.000495743,-0.173732,-0.153803,0.0199158,0.761078,0.036985,-0.0203691,0.00157359,1.50254,0.253454,37.9414,
10,0.000390625,0.003,0.001,16.2343,2000,0.210025,0.196767,1.0605,0.224494,51,51.375,183.6,184.95,0.7,0.35,1.62568e+06,11229.5,11276.1,700,700,-0.149313,-0.000658309,-0.122834,-0.113169,0.00965265,0.690796,0.0384746,-0.00962723,0.00148862,1.50704,0.290401,33.6624,
11,0.000390625,0.003,0.001,15.2615,2000,0.179481,0.166422,0.983726,0.193757,43.375,44.075,156.15,158.67,0.45,0.075,1.5864e+06,11251.8,11298.2,700,700,-0.0904625,-0.000652773,-0.110607,-0.101482,0.00911434,0.720278,0.0365696,-0.00930668,0.00232676,1.51094,0.307841,33.7436,
12,0.000390625,0.003,0.001,15.4474,2000,0.185834,0.174063,1.00921,0.198646,47.65,46.275,171.54,166.59,0.25,0.125,1.61301e+06,11166.6,11214,700,700,-0.0393625,-0.000221503,-0.122575,-0.105064,0.0175008,0.744313,0.037202,-0.0180186,0.00108663,1.51613,0.108096,36.5548,
13,0.000195313,0.003,0.001,14.891,2000,0.167814,0.155838,0.956693,0.18087,41.775,41.4,150.39,149.04,0.7,0.475,1.60818e+06,11096.9,11143,700,700,-0.1543,-0.000602247,-0.0935106,-0.0820565,0.0114494,0.594575,0.0348504,-0.0116239,0.00149485,1.51487,0.128675,32.7048,
14,0.000195313,0.003,0.001,15.1842,2000,0.158198,0.148598,0.946858,0.168622,40.425,39.125,145.53,140.85,0.65,0.4,1.61916e+06,11245.3,11292.6,700,700,-0.142937,-0.000592317,-0.0965977,-0.0883275,0.00826644,0.653396,0.0344177,-0.00848298,0.00147385,1.51938,0.266855,35.4078,
15,9.76563e-05,0.003,0.001,14.942,2000,0.187977,0.17698,1.02603,0.199972,47.375,46.35,170.55,166.86,0.9,0.7,1.59992e+06,11159.9,11206.1,700,700,-0.201825,-0.000672894,-0.0763923,-0.073168,0.00322089,0.54279,0.0353355,-0.00351477,0.00106784,1.5226,0.282326,33.6418,
16,4.88281e-05,0.003,0.001,15.3112,2000,0.159801,0.149322,0.921871,0.171183,40.55,39.55,145.98,142.38,0.45,0.15,1.60809e+06,11180.8,11228.5,700,700,-0.092725,-0.000606235,-0.0973584,-0.0885994,0.00874934,0.670397,0.0348017,-0.00890606,0.00109698,1.51925,0.311721,37.389,
17,2.44141e-05,0.003,0.001,15.3319,2000,0.148312,0.139779,0.880866,0.157575,40.425,36.975,145.53,133.11,0.5,0.475,1.56751e+06,11197.4,11245.3,700,700,-0.106512,-0.000207395,-0.0789065,-0.068196,0.0107001,0.664186,0.0342699,-0.0108573,0.000794696,1.52007,0.0732355,38.2984,
18,1.2207e-05,0.003,0.001,15.0559,2000,0.20678,0.194281,1.07132,0.22041,51.925,50.05,186.93,180.18,0.45,0.35,1.58748e+06,11185.4,11232.1,700,700,-0.087475,-0.000318492,-0.0656314,-0.0599815,0.00564129,0.607305,0.0362263,-0.00591878,0.00149523,1.52512,0.175833,34.0486,
19,6.10352e-06,0.003,0.001,15.5548,2000,0.161822,0.149243,0.926438,0.175467,43.275,40.7,155.79,146.52,0.9,0.225,1.63219e+06,11148.1,11196.9,700,700,-0.20465,-0.00147756,-0.0982917,-0.10673,-0.00844249,0.537642,0.0352727,0.00820816,0.00144361,1.51325,0.86458,42.1915,
20,6.10352e-06,0.003,0.001,15.7567,2000,0.138686,0.129516,0.843398,0.148688,39.35,34.125,141.66,122.85,0.35,0.25,1.56833e+06,11145.6,11195,700,700,-0.0704375,-0.000239958,-0.102383,-0.0892356,0.0131193,0.670492,0.0348793,-0.013124,0.000998551,1.51414,0.147452,43.6725,
21,3.05176e-06,0.003,0.001,15.2312,2000,0.184798,0.17248,1.03923,0.19825,47.325,45.625,170.37,164.25,0.6,0.35,1.57479e+06,11166.2,11213.3,700,700,-0.127187,-0.000661016,-0.0584105,-0.0565555,0.00184348,0.54425,0.035615,-0.00178216,0.0021459,1.52085,0.368802,37.0827,
