,step,id,type,speed,lane_id,lane_position,fuel
0,600,f_up_0.51,rl,4.403657943367828,:n_100.100_0_0,7.617530305541333,1.6882594041999137
1,600,f_up_0.52,human,2.483424152429374,e_n_100.0_n_100.100_0,95.71269269748785,1.3327987111378614
2,600,f_right_1.75,human,12.545434415754587,e_n_100.200_n_200.200_0,80.20223533851663,1.071602087912982
3,600,f_up_0.53,human,1.3126268921695325,e_n_100.0_n_100.100_0,86.14055046743863,1.1636676390266443
4,600,f_right_0.76,human,11.384917378478931,e_n_100.100_n_200.100_0,92.4785072566024,0.9306712462008723
5,600,f_right_1.76,human,11.322263215646883,e_n_100.200_n_200.200_0,49.64561795422389,0.9571902925627155
6,600,f_right_0.77,rl,13.04488251823279,e_n_100.100_n_200.100_0,53.19438437303651,1.260270985652726
7,600,f_right_1.77,rl,10.593134008862021,e_n_100.200_n_200.200_0,26.056337187021658,1.1465503060891087
8,600,f_up_0.54,rl,1.0942148898543613,e_n_100.0_n_100.100_0,77.45903846113495,0.0
9,600,f_right_0.78,human,11.331853550451026,e_n_100.100_n_200.100_0,27.017820096430924,1.367677963134215
10,600,f_right_1.78,human,9.912641763126537,e_n_100.200_n_200.200_0,3.989765203118809,1.4126215134088211
11,600,f_up_0.55,human,1.6059319978942808,e_n_100.0_n_100.100_0,68.59935194116188,0.0
12,600,f_right_0.79,human,0.8479022182952478,:n_100.100_1_0,0.21316386686552846,0.0
13,600,f_right_1.79,human,9.523405257815694,e_n_0.200_n_100.200_0,96.39461694688097,1.1690609181605436
14,600,f_up_0.56,human,2.3720080249018625,e_n_100.0_n_100.100_0,59.11951664616972,0.0
15,600,f_right_0.80,rl,0.75,e_n_0.100_n_100.100_0,56.99243608040322,1.2144477669212337
16,600,f_right_1.80,rl,9.162013811799644,e_n_0.200_n_100.200_0,77.14230591584183,1.202774907184904
17,600,f_right_0.81,human,2.236214144686943,e_n_0.100_n_100.100_0,47.33269280365278,0.0
18,600,f_right_1.81,human,9.671148006647677,e_n_0.200_n_100.200_0,56.33682430608698,1.2581074977685625
19,600,f_up_0.57,rl,8.606526096796928,e_n_100.0_n_100.100_0,34.153263048398465,1.585837866462867
20,600,f_right_0.82,human,8.24808019720727,e_n_0.100_n_100.100_0,25.79327484674916,1.2846913833386808
21,600,f_right_1.82,human,9.447748327148275,e_n_0.200_n_100.200_0,26.893179527665207,3.152808195461404
22,600,f_up_0.58,human,2.4984442915636698,e_n_100.0_n_100.100_0,6.98062442397214,1.7018506230953234
23,600,f_right_0.83,rl,0.75,e_n_0.100_n_100.100_0,5.475,1.2144477669212337
24,600,f_right_1.83,rl,0.75,e_n_0.200_n_100.200_0,5.475,1.2144477669212337
25,601,f_up_0.51,rl,5.153657943367828,:n_100.100_0_0,10.194359277225248,1.796665638870577
26,601,f_up_0.52,human,3.188414999737352,e_n_100.0_n_100.100_0,97.30690019735653,1.4885061063898197
27,601,f_right_1.75,human,13.845434415754587,e_n_100.200_n_200.200_0,87.12495254639393,5.036395125004261
28,601,f_up_0.53,human,1.828248063060789,e_n_100.0_n_100.100_0,87.05467449896902,1.2488808549347636
29,601,f_right_0.76,human,11.384917378478931,e_n_100.100_n_200.100_0,98.17096594584186,0.9306712462008723
