step,klcoef,entcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
0,0,0.01,0.0003,96.2685,2000,0.405432,0.383772,0.819594,0.429223,123.25,107.625,443.7,387.45,6.83333,2.66667,1.62041e+06,11131.6,11187.9,700,700,-0.0466557,0.00195959,-0.0022089,0.0303629,0.0325719,0.00115811,1.76827,-0.01145,0.0141079,1.59548,0.15575,158.353,501.285
1,0,0.01,0.0003,87.5564,2000,0.868323,0.821665,1.36273,0.919534,237.667,214.292,855.6,771.45,18.4167,7.08333,1.57604e+06,11061.9,11115.1,700,700,-1.58418,-0.0899784,-0.025067,-1.49503,-1.46997,0.0259971,0.634995,-0.00162774,0.00856209,1.57085,52.5218,146.806,936.498
2,0,0.01,0.0003,85.6421,2000,1.04751,0.998748,1.66092,1.10025,269.625,247.625,970.65,891.45,17.9167,6.375,1.58463e+06,11038.1,11089.1,700,700,-2.53815,-0.102858,-0.152951,-1.80959,-1.65665,0.0734121,0.419704,-0.00411547,0.00893498,1.53116,2.0717,146.705,1359.49
3,0,0.01,0.0003,83.632,2000,1.32396,1.27625,2.08002,1.37461,327.833,305.208,1180.2,1098.75,21.3333,8.33333,1.52227e+06,11078.6,11128.1,700,700,-4.54309,-0.214166,0.206802,-3.36467,-3.57147,0.0611888,0.493018,0.000482223,0.00760924,1.50074,11.7041,148.087,1776.71
4,0,0.01,0.0003,80.2501,2000,1.65549,1.60151,2.39818,1.71262,402.458,377.667,1448.85,1359.6,23.25,9.70833,1.51508e+06,11018.4,11066.6,700,700,-5.3364,-0.256048,0.840426,-3.555,-4.39541,0.0103857,0.47661,3.00569e-05,0.007514,1.47912,22.6967,164.604,2204.44
5,0,0.01,0.0003,81.1652,2000,1.72488,1.68064,2.51054,1.77113,426.458,399.208,1535.25,1437.15,24.75,10.75,1.49325e+06,11081.9,11131.2,700,700,-9.01154,-0.502783,1.29985,-7.22313,-8.52295,0.0446113,0.540694,6.74302e-05,0.00662808,1.42336,32.9644,167.677,2641.54
6,0,0.01,0.0003,84.16,2000,1.67703,1.63703,2.44202,1.71875,419.333,391.625,1509.6,1409.85,25.9167,10.9167,1.50409e+06,11022.1,11072.2,700,700,-32.4347,-1.8921,1.83838,-29.1072,-30.9456,0.0549395,0.684233,0.000540589,0.00553178,1.41034,16701.1,155.352,3073.14
7,0,0.01,0.0003,83.7168,2000,1.87438,1.83096,2.60374,1.91955,470.458,437.792,1693.65,1576.05,31.9583,14.25,1.48378e+06,10932,10981.8,700,700,-22.8294,-1.01212,1.639,-15.2077,-16.8467,0.0164936,0.550813,0.000232148,0.00634579,1.39564,546.662,149.614,3498.05
8,0,0.01,0.0003,83.2238,2000,1.74235,1.69484,2.45837,1.79205,440.125,409.417,1584.45,1473.9,29.9167,12.5833,1.5128e+06,11039.8,11089.8,700,700,-23.1421,-1.097,2.29117,-16.4742,-18.7654,0.0102439,0.138515,0.000983534,0.0095821,1.43616,1174.66,147.256,3907.78
9,0,0.01,0.0003,83.5767,2000,1.62106,1.57156,2.33733,1.67293,411.958,381.167,1483.05,1372.2,28.0417,11,1.51106e+06,11035.5,11085.8,700,700,-22.0345,-0.853201,3.1641,-11.7301,-14.8942,0.065891,0.309666,-3.07913e-05,0.00615954,1.43736,7855.05,157.478,4332.53
10,0,0.01,0.0003,83.6382,2000,1.70006,1.65139,2.37774,1.75101,435.667,402.292,1568.4,1448.25,29.0833,11.875,1.49775e+06,10998.3,11048.6,700,700,-33.7471,-1.43978,3.57927,-20.8503,-24.4296,0.0309323,0.360108,0.000789507,0.00797194,1.41774,162.88,167.952,4768.63
11,0,0.01,0.0003,85.1359,2000,1.60322,1.55695,2.30035,1.65136,413.125,381.958,1487.25,1375.05,28.875,10.4583,1.4955e+06,10965.5,11016.7,700,700,-22.6463,-0.690847,4.64771,-8.08727,-12.735,0.0789326,0.320113,0.000737061,0.0103594,1.38359,176.172,162.049,5202.18
12,0,0.01,0.0003,90.8757,2000,1.05058,1.00922,1.53246,1.09466,301.542,271.333,1085.55,976.8,23.25,8.91667,1.53202e+06,11046.4,11101.7,700,700,-9.06268,0.455653,5.57349,11.5495,5.976,0.117722,0.639049,0.00436224,0.0145491,1.41491,138.729,147.687,5643.96
13,0,0.01,0.0003,93.9456,2000,0.762004,0.727209,1.17125,0.799584,232.792,203.292,838.05,731.85,20.6667,7.875,1.55047e+06,11075.1,11132.9,700,700,-2.93644,0.805674,6.32694,18.0935,11.7665,0.119293,0.28309,0.00326904,0.0118154,1.45424,65.3298,147.096,6084.94
14,0,0.01,0.0003,94.3933,2000,0.775347,0.736911,1.19362,0.816876,235,206,846,741.6,21.75,7.66667,1.54696e+06,11102.4,11160,700,700,-13.097,0.0899057,7.19768,7.11035,-0.0873197,0.101368,0.520719,0.00417686,0.0119245,1.43667,1130.24,173.528,6561.67
15,0,0.01,0.0003,93.8284,2000,0.834417,0.797006,1.25896,0.874849,252.417,223.208,908.7,803.55,18.75,7.16667,1.51354e+06,11059.6,11117.2,700,700,-3.32272,0.712282,7.86133,17.7789,9.91757,0.125704,0.80112,0.00255624,0.013324,1.4193,57.6986,163.298,7031.6
16,0,0.01,0.0003,92.1965,2000,0.981735,0.93873,1.37427,1.02799,295.458,262.833,1063.65,946.2,22.8333,8.45833,1.49693e+06,11010.4,11068.1,700,700,-4.83847,0.565324,8.8236,16.0343,7.21074,0.10359,0.679563,0.00431522,0.0116539,1.41056,74.2191,152.591,7484.89
17,0,0.01,0.0003,93.2157,2000,0.89494,0.853456,1.30192,0.939777,271,237.333,975.6,854.4,22.25,8.29167,1.51855e+06,11120,11177.3,700,700,-5.71271,0.484653,9.72252,15.5001,5.77757,0.133235,0.474194,0.00196053,0.00903413,1.43051,331.58,162.948,7945.68
18,0,0.01,0.0003,92.3205,2000,0.954063,0.909983,1.376,1.00184,281.792,251.917,1014.45,906.9,21.0833,8.08333,1.53053e+06,11067.8,11124.4,700,700,-5.18784,0.481569,10.241,15.8436,5.60261,0.147596,0.611629,0.00294357,0.0103978,1.42556,159.625,175.21,8416.41
19,0,0.01,0.0003,91.543,2000,1.15756,1.1085,1.58472,1.21033,335.958,303.833,1209.45,1093.8,24.75,9.625,1.51297e+06,11077.8,11134.1,700,700,-4.63361,0.482943,10.733,16.0935,5.36045,0.0948195,1.36933,0.000961803,0.00994599,1.40143,164.16,150.494,8883.97
20,0,0.01,0.0003,93.2849,2000,0.990235,0.944817,1.37704,1.03955,302.042,269.083,1087.35,968.7,23.875,9.33333,1.53583e+06,11012.9,11071.3,700,700,-6.6605,0.356941,11.4515,14.7272,3.27565,0.139174,0.688329,0.00208054,0.00870863,1.4545,100.284,157.552,9342.36
